optimization_seed,data_split_seed,arm,stage,domain,domain_index,macro_fg_dice,rim_dice,cup_dice,background_dice,mean_iou,cases,evaluable_cases,evaluable_macro_fg_dice,empty_support_evidence
1,0,S,1,RIM_ONE_r3,1,0.7030312220101929,0.7385423776911312,0.6675200663292543,0.9894255169319612,0.7051987764317244,40,40,0.7030312220101929,False
1,0,S,2,REFUGE,0,0.5641788861773595,0.5340139338319989,0.5943438385227203,0.9791655520616867,0.5933782942882452,100,100,0.5641788861773595,False
1,0,S,2,RIM_ONE_r3,1,0.4218738084849113,0.35212813102370477,0.4916194859461179,0.9618732199141051,0.5058731196884851,40,40,0.4218738084849113,False
1,0,S,2,Drishti_GS,2,0.7173716111899242,0.6762594890771563,0.7584837333026923,0.9846225113265301,0.7126615189964801,25,25,0.7173716111899242,False
1,0,L05,0,REFUGE,0,0.8400447023938392,0.8440691577512475,0.8360202470364313,0.9913061004347743,0.8168235911668202,100,100,0.8400447023938392,False
1,0,L05,1,REFUGE,0,0.6750473553011558,0.5990788353901985,0.7510158752121134,0.976004178428786,0.6704541477378828,100,100,0.6750473553011558,False
1,0,L05,1,RIM_ONE_r3,1,0.7061064443557339,0.738680950294426,0.6735319384170418,0.9894875408205008,0.7068611029306741,40,40,0.7061064443557339,False
1,0,L05,2,REFUGE,0,0.5583258501091345,0.5081317466877865,0.6085199535304826,0.9795152818112974,0.5881132281793239,100,100,0.5583258501091345,False
1,0,L05,2,RIM_ONE_r3,1,0.435458925624072,0.3626235027653596,0.5082943484827844,0.9677088996884681,0.5198604085494093,40,40,0.435458925624072,False
1,0,L05,2,Drishti_GS,2,0.7310499451379111,0.6953116788944615,0.7667882113813608,0.9858085345857655,0.7260342867251756,25,25,0.7310499451379111,False
2,0,S,0,REFUGE,0,0.8386305949555662,0.8471325728022565,0.8301286171088761,0.9915476588393656,0.8164331391098463,100,100,0.8386305949555662,False
2,0,S,1,REFUGE,0,0.6743847117447589,0.5861471967501122,0.7626222267394056,0.974643227147887,0.6697604135950708,100,100,0.6743847117447589,False
2,0,S,1,RIM_ONE_r3,1,0.6906295289621498,0.7323926294092054,0.6488664285150942,0.9892110651371414,0.6971566844349859,40,40,0.6906295289621498,False
2,0,S,2,REFUGE,0,0.5942115363703334,0.571173404080537,0.6172496686601296,0.9829980079296249,0.6136058785378492,100,100,0.5942115363703334,False
