protocol_id,seed,transition,update_batch,variant,virtual_step_norm,previous_val_loss_before,previous_val_loss_after,previous_val_loss_delta,previous_val_dice_before,previous_val_dice_after,previous_val_dice_delta,current_val_loss_before,current_val_loss_after,current_val_loss_delta,current_val_dice_before,current_val_dice_after,current_val_dice_delta,old_model_gradient_nonnull,checkpoint_or_model_mutated,hidden_gt_usage
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,25,X1,0.001,0.6201920881867409,0.6187834832817316,-0.0014086049050092697,0.7369811721146107,0.737393032759428,0.0004118606448173523,0.4998316541314125,0.4984858725219965,-0.001345781609416008,0.7476552985608578,0.7481323257088661,0.00047702714800834656,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,26,X0,0.001,0.6201920881867409,0.6194625999778509,-0.0007294882088899612,0.7369811721146107,0.7374576032161713,0.00047643110156059265,0.4998316541314125,0.49950857646763325,-0.00032307766377925873,0.7476552985608578,0.7477979399263859,0.0001426413655281067,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,26,X1,0.001,0.6201920881867409,0.6187856439501047,-0.0014064442366361618,0.7369811721146107,0.7375890351831913,0.0006078630685806274,0.4998316541314125,0.4991594422608614,-0.0006722118705511093,0.7476552985608578,0.7479192577302456,0.0002639591693878174,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,27,X0,0.001,0.6201920881867409,0.6203743442893028,0.00018225610256195068,0.7369811721146107,0.7368453778326511,-0.0001357942819595337,0.4998316541314125,0.49874498695135117,-0.0010866671800613403,0.7476552985608578,0.7479376830160618,0.00028238445520401,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,27,X1,0.001,0.6201920881867409,0.6197447702288628,-0.0004473179578781128,0.7369811721146107,0.737035010010004,5.383789539337158e-05,0.4998316541314125,0.49843794479966164,-0.0013937093317508698,0.7476552985608578,0.7480767294764519,0.00042143091559410095,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,28,X0,0.001,0.6201920881867409,0.620762811973691,0.0005707237869501114,0.7369811721146107,0.7367018796503544,-0.0002792924642562866,0.4998316541314125,0.5008468572050333,0.0010152030736207962,0.7476552985608578,0.7471715770661831,-0.0004837214946746826,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,28,X1,0.001,0.6201920881867409,0.6204856373369694,0.00029354915022850037,0.7369811721146107,0.7367872148752213,-0.00019395723938941956,0.4998316541314125,0.5006847120821476,0.0008530579507350922,0.7476552985608578,0.7472419515252113,-0.0004133470356464386,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,29,X0,0.001,0.6201920881867409,0.6211463585495949,0.0009542703628540039,0.7369811721146107,0.7367589063942432,-0.00022226572036743164,0.4998316541314125,0.5012217722833157,0.0013901181519031525,0.7476552985608578,0.7473089545965195,-0.0003463439643383026,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,29,X1,0.001,0.6201920881867409,0.6206504162400961,0.000458328053355217,0.7369811721146107,0.7368770949542522,-0.00010407716035842896,0.4998316541314125,0.500938544049859,0.0011068899184465408,0.7476552985608578,0.7474164962768555,-0.00023880228400230408,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,30,X0,0.001,0.6201920881867409,0.6194711849093437,-0.0007209032773971558,0.7369811721146107,0.7372821159660816,0.00030094385147094727,0.4998316541314125,0.4990588892251253,-0.0007727649062871933,0.7476552985608578,0.747830118983984,0.0001748204231262207,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,30,X1,0.001,0.6201920881867409,0.6195802893489599,-0.0006117988377809525,0.7369811721146107,0.7372602671384811,0.00027909502387046814,0.4998316541314125,0.49897713027894497,-0.0008545238524675369,0.7476552985608578,0.7478894479572773,0.00023414939641952515,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,31,X0,0.001,0.6201920881867409,0.6202397719025612,4.76837158203125e-05,0.7369811721146107,0.7368715479969978,-0.00010962411761283875,0.4998316541314125,0.500088520348072,0.0002568662166595459,0.7476552985608578,0.7476458288729191,-9.469687938690186e-06,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,REFUGE->RIM_ONE_r3,31,X1,0.001,0.6201920881867409,0.6194680873304605,-0.0007240008562803268,0.7369811721146107,0.7370945401489735,0.00011336803436279297,0.4998316541314125,0.49938509427011013,-0.0004465598613023758,0.7476552985608578,0.7478568069636822,0.00020150840282440186,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,RIM_ONE_r3->Drishti_GS,0,X0,0.001,0.6899990402162075,0.6878229957073927,-0.0021760445088148117,0.6696200221776962,0.670845590531826,0.0012255683541297913,0.7460956051945686,0.7446213141083717,-0.0014742910861968994,0.6919702626764774,0.6926248334348202,0.0006545707583427429,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,RIM_ONE_r3->Drishti_GS,0,X1,0.001,0.6899990402162075,0.6883829608559608,-0.0016160793602466583,0.6696200221776962,0.6704982444643974,0.0008782222867012024,0.7460956051945686,0.7455262131989002,-0.0005693919956684113,0.6919702626764774,0.6922375932335854,0.0002673305571079254,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,RIM_ONE_r3->Drishti_GS,1,X0,0.001,0.6899990402162075,0.6880133301019669,-0.0019857101142406464,0.6696200221776962,0.6698427759110928,0.00022275373339653015,0.7460956051945686,0.7507081441581249,0.00461253896355629,0.6919702626764774,0.6898569352924824,-0.002113327383995056,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,RIM_ONE_r3->Drishti_GS,1,X1,0.001,0.6899990402162075,0.6882504802197218,-0.0017485599964857101,0.6696200221776962,0.6697696670889854,0.0001496449112892151,0.7460956051945686,0.7504199147224426,0.004324309527873993,0.6919702626764774,0.689995214343071,-0.0019750483334064484,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,RIM_ONE_r3->Drishti_GS,2,X0,0.001,0.6899990402162075,0.6931737847626209,0.0031747445464134216,0.6696200221776962,0.6686415299773216,-0.0009784922003746033,0.7460956051945686,0.7418983280658722,-0.004197277128696442,0.6919702626764774,0.6938982047140598,0.0019279420375823975,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,RIM_ONE_r3->Drishti_GS,2,X1,0.001,0.6899990402162075,0.6931480728089809,0.0031490325927734375,0.6696200221776962,0.6686207838356495,-0.0009992383420467377,0.7460956051945686,0.7422255501151085,-0.003870055079460144,0.6919702626764774,0.6937432028353214,0.0017729401588439941,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,RIM_ONE_r3->Drishti_GS,3,X0,0.001,0.6899990402162075,0.6907853167504072,0.0007862765341997147,0.6696200221776962,0.6693821400403976,-0.00023788213729858398,0.7460956051945686,0.7443383075296879,-0.0017572976648807526,0.6919702626764774,0.6928723230957985,0.0009020604193210602,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,RIM_ONE_r3->Drishti_GS,3,X1,0.001,0.6899990402162075,0.6911453660577536,0.0011463258415460587,0.6696200221776962,0.6693229526281357,-0.0002970695495605469,0.7460956051945686,0.743814941495657,-0.002280663698911667,0.6919702626764774,0.6930969133973122,0.001126650720834732,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,RIM_ONE_r3->Drishti_GS,4,X0,0.001,0.6899990402162075,0.6917994227260351,0.0018003825098276138,0.6696200221776962,0.6694357506930828,-0.00018427148461341858,0.7460956051945686,0.7423016019165516,-0.003794003278017044,0.6919702626764774,0.6935357078909874,0.001565445214509964,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,RIM_ONE_r3->Drishti_GS,4,X1,0.001,0.6899990402162075,0.6919062174856663,0.0019071772694587708,0.6696200221776962,0.6694515347480774,-0.00016848742961883545,0.7460956051945686,0.7417738176882267,-0.004321787506341934,0.6919702626764774,0.6938202530145645,0.001849990338087082,0,False,none_visible_update_and_val_only
bprcseg_x1_exploratory,0,RIM_ONE_r3->Drishti_GS,5,X0,0.001,0.6899990402162075,0.6901919636875391,0.00019292347133159637,0.6696200221776962,0.6698573231697083,0.00023730099201202393,0.7460956051945686,0.7436799295246601,-0.0024156756699085236,0.6919702626764774,0.693089134991169,0.0011188723146915436,0,False,none_visible_update_and_val_only
