phase,kind,epoch,domain,arm,seed,model,head_mode,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
P1,metrics.csv,40,RIM_ONE_r3,MIX_CED,31,student,raw_linear3_same_geometry,40,40,0.9870761177658093,0.7192457804409415,0.6956178838625329,0.7074318321517372
P1,metrics.csv,40,RIM_ONE_r3,MIX_CED,31,ema,raw_linear3_same_geometry,40,40,0.9872642822559975,0.722197821181908,0.7089854158909924,0.7155916185364501
P1,metrics.csv,60,RIM_ONE_r3,MIX_CED,31,student,raw_linear3_same_geometry,40,40,0.9867517914498262,0.7377851593303294,0.7212054334082326,0.7294952963692811
P1,metrics.csv,60,RIM_ONE_r3,MIX_CED,31,ema,raw_linear3_same_geometry,40,40,0.9887949951245047,0.7453237605950142,0.7197129667012742,0.7325183636481442
P1,metrics.csv,80,RIM_ONE_r3,MIX_CED,31,student,raw_linear3_same_geometry,40,40,0.988690516540632,0.7421400658039798,0.7038433218191742,0.7229916938115771
P1,metrics.csv,80,RIM_ONE_r3,MIX_CED,31,ema,raw_linear3_same_geometry,40,40,0.9892867948876075,0.7545954938936879,0.7122736874246918,0.7334345906591898
P1,metrics.csv,100,RIM_ONE_r3,MIX_CED,31,student,raw_linear3_same_geometry,40,40,0.9890082055257547,0.7509811441670399,0.7017546115142548,0.7263678778406474
P1,metrics.csv,100,RIM_ONE_r3,MIX_CED,31,ema,raw_linear3_same_geometry,40,40,0.9890358853187932,0.7509709486839743,0.7041972011351983,0.7275840749095863
P1,metrics.csv,20,Drishti_GS,MIX_CED,31,student,raw_linear3_same_geometry,25,25,0.9864814338459794,0.6739896668545416,0.7538498998574965,0.713919783356019
P1,metrics.csv,20,Drishti_GS,MIX_CED,31,ema,raw_linear3_same_geometry,25,25,0.9867883550991623,0.6892913619057901,0.7652468884432061,0.7272691251744982
P1,metrics.csv,40,Drishti_GS,MIX_CED,31,student,raw_linear3_same_geometry,25,25,0.9879205558267276,0.7213181704222112,0.7638696918548854,0.7425939311385484
P1,metrics.csv,40,Drishti_GS,MIX_CED,31,ema,raw_linear3_same_geometry,25,25,0.9873159201683189,0.7268011350147627,0.7601589314690622,0.7434800332419124
P1,metrics.csv,60,Drishti_GS,MIX_CED,31,student,raw_linear3_same_geometry,25,25,0.9880009004434371,0.7359597303039637,0.75916464903714,0.7475621896705518
P1,metrics.csv,60,Drishti_GS,MIX_CED,31,ema,raw_linear3_same_geometry,25,25,0.9873616714952961,0.7211253567730073,0.7585169638214125,0.73982116029721
P1,metrics.csv,80,Drishti_GS,MIX_CED,31,student,raw_linear3_same_geometry,25,25,0.9859991331018921,0.7106198041259469,0.7500527014549211,0.730336252790434
P1,metrics.csv,80,Drishti_GS,MIX_CED,31,ema,raw_linear3_same_geometry,25,25,0.9870674686664459,0.720234849334003,0.7551909266043478,0.7377128879691753
P1,metrics.csv,100,Drishti_GS,MIX_CED,31,student,raw_linear3_same_geometry,25,25,0.9861425421838516,0.7125903685034516,0.7372766348462124,0.7249335016748322
P1,metrics.csv,100,Drishti_GS,MIX_CED,31,ema,raw_linear3_same_geometry,25,25,0.9864106098699027,0.7140312643246947,0.7421694621230818,0.7281003632238882
P1,metrics.csv,20,RIM_ONE_r3,SUP_CED,32,student,raw_linear3_same_geometry,40,40,0.985998380851236,0.704477320896862,0.6164879737273927,0.6604826473121272
P1,metrics.csv,20,RIM_ONE_r3,SUP_CED,32,ema,raw_linear3_same_geometry,40,40,0.9858379359852005,0.7088590945416963,0.65400354916424,0.6814313218529681
P1,metrics.csv,40,RIM_ONE_r3,SUP_CED,32,student,raw_linear3_same_geometry,40,40,0.9855317261711691,0.7151042200514143,0.6658864448200454,0.6904953324357297
P1,metrics.csv,40,RIM_ONE_r3,SUP_CED,32,ema,raw_linear3_same_geometry,40,40,0.9863032104961924,0.725195072747139,0.6835830143375086,0.7043890435423238
