phase,arm,baseline,seed,domain,metric,delta,flag
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,42,RIM_ONE_r3,rim_dice,0.0013576055276407484,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,42,RIM_ONE_r3,cup_dice,0.05247861963951406,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,42,Drishti_GS,macro_fg_dice,0.054945353181770296,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,42,Drishti_GS,rim_dice,0.10995209511224602,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CE,42,Drishti_GS,cup_dice,-6.138874870575961e-05,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,31,RIM_ONE_r3,macro_fg_dice,0.04597736481191228,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,31,RIM_ONE_r3,rim_dice,0.027916833333695656,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,31,RIM_ONE_r3,cup_dice,0.06403789629012879,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,31,Drishti_GS,macro_fg_dice,0.020467445652101235,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,31,Drishti_GS,rim_dice,0.04421462353751937,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,31,Drishti_GS,cup_dice,-0.003279732233317456,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,32,RIM_ONE_r3,macro_fg_dice,0.04712130547067628,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,32,RIM_ONE_r3,rim_dice,0.031930044732069285,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,32,RIM_ONE_r3,cup_dice,0.062312566209283604,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,32,Drishti_GS,macro_fg_dice,0.02045546251688224,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,32,Drishti_GS,rim_dice,0.030572552173475875,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,32,Drishti_GS,cup_dice,0.010338372860288825,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,33,RIM_ONE_r3,macro_fg_dice,0.03796703982635308,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,33,RIM_ONE_r3,rim_dice,0.01725001629941003,
ALL5_SELECTED_DESCRIPTIVE,MIX_CED,SUP_CED,33,RIM_ONE_r3,cup_dice,0.05868406335329601,
