phase,seed,domain,arm,epoch,class_id,steps,L_class_pixels,L_records,U_unique_batch_sources,U_context_records,mix_steps,all_ignore_L,CE,GT_Dice,dice_weight,SCE,target_entropy,KL,lambda_cons,weighted_GT_Dice,weighted_U_SCE,U_target_applicable,unit,U_predicted,U_accepted
P1,31,RIM_ONE_r3,SUP_CED,20,1,32,721124,64,0,0,0,0,1.694727797061205,6.352576515234223,32,0.0,0.0,0.0,0.0,6.352576515234223,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,20,2,32,174632,64,0,0,0,0,1.694727797061205,6.352576515234223,32,0.0,0.0,0.0,0.0,6.352576515234223,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,21,0,32,8541428,64,0,0,0,0,1.7009751591831446,6.438467848192817,32,0.0,0.0,0.0,0.8000000000000004,6.438467848192817,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,21,1,32,721124,64,0,0,0,0,1.7009751591831446,6.438467848192817,32,0.0,0.0,0.0,0.8000000000000004,6.438467848192817,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,21,2,32,174632,64,0,0,0,0,1.7009751591831446,6.438467848192817,32,0.0,0.0,0.0,0.8000000000000004,6.438467848192817,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,22,0,32,8541428,64,0,0,0,0,1.8229134753346443,6.633479210276424,32,0.0,0.0,0.0,1.6000000000000008,6.633479210276424,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,22,1,32,721124,64,0,0,0,0,1.8229134753346443,6.633479210276424,32,0.0,0.0,0.0,1.6000000000000008,6.633479210276424,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,22,2,32,174632,64,0,0,0,0,1.8229134753346443,6.633479210276424,32,0.0,0.0,0.0,1.6000000000000008,6.633479210276424,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,23,0,32,8541428,64,0,0,0,0,1.695578383281827,6.161962444393828,32,0.0,0.0,0.0,2.4000000000000004,6.161962444393828,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,23,1,32,721124,64,0,0,0,0,1.695578383281827,6.161962444393828,32,0.0,0.0,0.0,2.4000000000000004,6.161962444393828,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,23,2,32,174632,64,0,0,0,0,1.695578383281827,6.161962444393828,32,0.0,0.0,0.0,2.4000000000000004,6.161962444393828,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,24,0,32,8541428,64,0,0,0,0,1.5486540496349335,5.974312539342502,32,0.0,0.0,0.0,3.2000000000000015,5.974312539342502,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,24,1,32,721124,64,0,0,0,0,1.5486540496349335,5.974312539342502,32,0.0,0.0,0.0,3.2000000000000015,5.974312539342502,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
P1,31,RIM_ONE_r3,SUP_CED,24,2,32,174632,64,0,0,0,0,1.5486540496349335,5.974312539342502,32,0.0,0.0,0.0,3.2000000000000015,5.974312539342502,0.0,False,"sums over steps; batch record counts repeat across classes, not distinct cohort patients; divide losses by steps",,
