epoch,domain,arm,seed,head_mode,model,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice,evaluable_only_background_dice,evaluable_only_rim_dice,evaluable_only_cup_dice,evaluable_only_macro_fg_dice
100,RIM_ONE_r3,SUP,32,raw_linear3_same_geometry,student,40,40,0.985028540626739,0.7117597709039432,0.6476911133043604,0.6797254421041519,0.985028540626739,0.7117597709039432,0.6476911133043604,0.6797254421041519
100,RIM_ONE_r3,SUP,32,raw_linear3_same_geometry,ema,40,40,0.9851435541075162,0.7127638710593618,0.6466983234519794,0.6797310972556706,0.9851435541075162,0.7127638710593618,0.6466983234519794,0.6797310972556706
20,RIM_ONE_r3,T_SCE,32,raw_linear3_same_geometry,student,40,40,0.9863674094615454,0.7110310648368319,0.6413161975747311,0.6761736312057816,0.9863674094615454,0.7110310648368319,0.6413161975747311,0.6761736312057816
20,RIM_ONE_r3,T_SCE,32,raw_linear3_same_geometry,ema,40,40,0.9869568529747419,0.7109289838625352,0.622288256299265,0.6666086200809002,0.9869568529747419,0.7109289838625352,0.622288256299265,0.6666086200809002
40,RIM_ONE_r3,T_SCE,32,raw_linear3_same_geometry,student,40,40,0.9850706126196769,0.6983427987984758,0.6413585031433293,0.6698506509709026,0.9850706126196769,0.6983427987984758,0.6413585031433293,0.6698506509709026
40,RIM_ONE_r3,T_SCE,32,raw_linear3_same_geometry,ema,40,40,0.9855474749758159,0.7141019194557575,0.6663088764368282,0.6902053979462929,0.9855474749758159,0.7141019194557575,0.6663088764368282,0.6902053979462929
60,RIM_ONE_r3,T_SCE,32,raw_linear3_same_geometry,student,40,40,0.9841108784262724,0.7067831319843705,0.6576497284081764,0.6822164301962734,0.9841108784262724,0.7067831319843705,0.6576497284081764,0.6822164301962734
60,RIM_ONE_r3,T_SCE,32,raw_linear3_same_geometry,ema,40,40,0.985160764910314,0.7180125564024925,0.6650498261310418,0.6915311912667671,0.985160764910314,0.7180125564024925,0.6650498261310418,0.6915311912667671
80,RIM_ONE_r3,T_SCE,32,raw_linear3_same_geometry,student,40,40,0.986360405640534,0.7309410928692391,0.6775750794484585,0.7042580861588489,0.986360405640534,0.7309410928692391,0.6775750794484585,0.7042580861588489
80,RIM_ONE_r3,T_SCE,32,raw_linear3_same_geometry,ema,40,40,0.9860060264933115,0.7273782090048657,0.6695803638993768,0.6984792864521212,0.9860060264933115,0.7273782090048657,0.6695803638993768,0.6984792864521212
100,RIM_ONE_r3,T_SCE,32,raw_linear3_same_geometry,student,40,40,0.9857472982075068,0.7223504979616211,0.6656792598081169,0.6940148788848689,0.9857472982075068,0.7223504979616211,0.6656792598081169,0.6940148788848689
100,RIM_ONE_r3,T_SCE,32,raw_linear3_same_geometry,ema,40,40,0.9857518321359302,0.7231055264283907,0.6658513475079083,0.6944784369681494,0.9857518321359302,0.7231055264283907,0.6658513475079083,0.6944784369681494
20,Drishti_GS,SUP,33,raw_linear3_same_geometry,student,25,25,0.9886146964907421,0.7074503592066302,0.730794233135443,0.7191222961710365,0.9886146964907421,0.7074503592066302,0.730794233135443,0.7191222961710365
