level,key,policy,rows,retained_rows,excluded_rows,patients,retained_patients,groups,weighting,foreground_dice,rim_dice,cup_dice,mean_iou,gain_macro_fg,gain_rim,gain_cup,harm,status,gain_minus_frozen_PPC,rim_drop,cup_drop
seed,0,O_FREE_SUBSET_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.7558636488180248,0.8204341271902104,0.6912931704458395,0.7548822104732665,0.17751410026507763,0.21791803230109127,0.13711016822906397,0.0,DEFINED,-0.047647316005217294,0.0,0.0
seed,0,O_FREE_SUBSET_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8015770043072727,0.8620981702031202,0.7410558384114251,0.7953078101209812,0.22322745575432537,0.25958207531400107,0.18687283619464967,0.00036447953590688014,DEFINED,-0.0019339605159695572,0.0,0.0
seed,0,O_FREE_SUBSET_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8022691546657216,0.8621725320257344,0.7423657773057087,0.7959750029141608,0.2239196061127743,0.2596564371366154,0.18818277508893325,0.0002949213747456651,DEFINED,-0.0012418101575206175,0.0,0.0
seed,1,current,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.5503779255305467,0.4990996035025716,0.6016562475585218,0.611872577014241,0.0,0.0,0.0,0.0,DEFINED,-0.23342836315855253,0.0,0.0
seed,1,frozen_Ridge_hard,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.8101902121284984,0.8294676893855805,0.7909127348714166,0.8027433510667866,0.2598122865979518,0.3303680858830087,0.18925648731289477,0.028856393010116412,DEFINED,0.02638392343939927,0.0,0.0
seed,1,frozen_SHOR,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.7901792491887506,0.8036258294611004,0.7767326689164009,0.7889681622743536,0.23980132365820392,0.3045262259585286,0.17507642135787918,0.028856393010116412,DEFINED,0.006372960499651387,0.0,0.0
seed,1,frozen_PPC_C6,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.7838062886890992,0.7925891366413759,0.7750234407368227,0.784346038013804,0.23342836315855253,0.29348953313880405,0.17336719317830096,0.028856393010116412,DEFINED,0.0,0.0,0.0
seed,1,O_CAP_lambda050,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.5547886321457015,0.5065523002375522,0.6030249640538511,0.6150680989291187,0.004410706615154898,0.007452696734980435,0.00136871649532936,3.567167828954649e-05,DEFINED,-0.22901765654339765,0.0,0.0
seed,1,O_CAP_lambda075,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.5561792656684096,0.5093198711326599,0.6030386602041592,0.6159312572179969,0.0058013401378628785,0.010220267630088162,0.0013824126456375965,3.567167828954649e-05,DEFINED,-0.22762702302068966,0.0,0.0
seed,1,O_CAP_envelope,66,66,0,66,66,3,original_seed_domain_equal_then_patient_equal,0.5562605314245158,0.5094824026448724,0.6030386602041592,0.6159883562732721,0.005882605893969189,0.010382799142300782,0.0013824126456375965,3.567167828954649e-05,DEFINED,-0.22754575726458334,0.0,0.0
