level,key,policy,patients,foreground_dice,gain_macro_fg,weighting
domain,Drishti_GS,current,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,frozen_Ridge_hard,28,0.7971297843505074,-0.04944977145628839,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,frozen_SHOR,28,0.830170237457714,-0.016409318349081953,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,frozen_PPC_C6,28,0.830170237457714,-0.016409318349081953,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_CAP_lambda050,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_CAP_lambda075,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_CAP_envelope,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_SAFE0_lambda050,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_SAFE0_lambda075,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_SAFE0_envelope,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_NO_AREA_lambda050,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_NO_AREA_lambda075,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_NO_AREA_envelope,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_FREE_SUBSET_lambda050,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_FREE_SUBSET_lambda075,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,Drishti_GS,O_FREE_SUBSET_envelope,28,0.8465795558067961,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,current,107,0.5713091038706414,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,frozen_Ridge_hard,107,0.8837344304998584,0.3124253266292168,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,frozen_SHOR,107,0.8837344304998584,0.3124253266292168,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,frozen_PPC_C6,107,0.8820983325205967,0.3107892286499551,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,O_CAP_lambda050,107,0.6021024450269119,0.030793341156270578,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,O_CAP_lambda075,107,0.6126327362919113,0.041323632421269844,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,O_CAP_envelope,107,0.6131072560567152,0.041798152186073856,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
domain,REFUGE,O_SAFE0_lambda050,107,0.6021024450269119,0.030793341156270578,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
