level,key,policy,rows,patients,accepted,vetoed,current_domain_historical_overrides,source_mismatches,beneficial_accepted,harmful_accepted,beneficial_vetoed,class_harm_vetoed,zero_macro_vetoed,class_nonharm_accepted,correction_precision,class_nonharm_precision,worst_case_delta,worst_class_harm,case_delta_below_minus_010,patients_with_case_below_minus_010,worst_patient_mean_delta,patient_mean_below_minus_010
seed_domain,0:RIM_ONE_r3,SHOR_UV_GAIN_ONLY,16,16,2,14,0,0,2,0,14,1,0,2,1.0,1.0,0.0,0.0,0,0,0.0,0
seed_domain,0:RIM_ONE_r3,SHOR_UV_ROUTED_ONLY,16,16,16,0,0,0,16,1,0,0,0,15,1.0,0.9375,0.13502402289935028,0.19197313100830227,0,0,0.13502402289935028,0
seed_domain,1:Drishti_GS,CURRENT,10,10,0,1,0,0,0,0,0,1,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,1:Drishti_GS,RIDGE_HARD_FROZEN,10,10,1,0,1,1,0,1,0,0,0,0,0.0,0.0,-0.45946091377429465,0.5946486012153116,1,1,-0.45946091377429465,1
seed_domain,1:Drishti_GS,SHOR_FROZEN,10,10,1,0,1,1,0,1,0,0,0,0,0.0,0.0,-0.45946091377429465,0.5946486012153116,1,1,-0.45946091377429465,1
seed_domain,1:Drishti_GS,PPC_FROZEN,10,10,1,0,1,1,0,1,0,0,0,0,0.0,0.0,-0.45946091377429465,0.5946486012153116,1,1,-0.45946091377429465,1
seed_domain,1:Drishti_GS,SHOR_CONFIDENCE_VETO,10,10,1,0,1,1,0,1,0,0,0,0,0.0,0.0,-0.45946091377429465,0.5946486012153116,1,1,-0.45946091377429465,1
seed_domain,1:Drishti_GS,SHOR_UV_CF,10,10,0,1,0,0,0,0,0,1,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,1:Drishti_GS,SHOR_UV_GAIN_ONLY,10,10,1,0,1,1,0,1,0,0,0,0,0.0,0.0,-0.45946091377429465,0.5946486012153116,1,1,-0.45946091377429465,1
seed_domain,1:Drishti_GS,SHOR_UV_ROUTED_ONLY,10,10,1,0,1,1,0,1,0,0,0,0,0.0,0.0,-0.45946091377429465,0.5946486012153116,1,1,-0.45946091377429465,1
seed_domain,1:REFUGE,CURRENT,40,40,0,40,0,0,0,0,40,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,1:REFUGE,RIDGE_HARD_FROZEN,40,40,40,0,0,0,40,0,0,0,0,40,1.0,1.0,0.0755329642793725,0.0,0,0,0.0755329642793725,0
seed_domain,1:REFUGE,SHOR_FROZEN,40,40,40,0,0,0,40,0,0,0,0,40,1.0,1.0,0.0755329642793725,0.0,0,0,0.0755329642793725,0
seed_domain,1:REFUGE,PPC_FROZEN,40,40,40,0,0,0,40,0,0,0,0,40,1.0,1.0,0.0755329642793725,0.0,0,0,0.0755329642793725,0
seed_domain,1:REFUGE,SHOR_CONFIDENCE_VETO,40,40,40,0,0,0,40,0,0,0,0,40,1.0,1.0,0.0755329642793725,0.0,0,0,0.0755329642793725,0
seed_domain,1:REFUGE,SHOR_UV_CF,40,40,33,7,0,0,33,0,7,0,0,33,1.0,1.0,0.0,0.0,0,0,0.0,0
seed_domain,1:REFUGE,SHOR_UV_GAIN_ONLY,40,40,10,30,0,0,10,0,30,0,0,10,1.0,1.0,0.0,0.0,0,0,0.0,0
seed_domain,1:REFUGE,SHOR_UV_ROUTED_ONLY,40,40,39,1,0,0,39,0,1,0,0,39,1.0,1.0,0.0,0.0,0,0,0.0,0
seed_domain,1:RIM_ONE_r3,CURRENT,16,16,0,13,0,0,0,0,13,4,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,1:RIM_ONE_r3,RIDGE_HARD_FROZEN,16,16,15,0,0,1,15,4,0,0,0,11,1.0,0.7333333333333333,0.0,0.14587901670736403,0,0,0.0,0
seed_domain,1:RIM_ONE_r3,SHOR_FROZEN,16,16,13,0,0,1,13,4,0,0,0,9,1.0,0.6923076923076923,0.0,0.14587901670736403,0,0,0.0,0
seed_domain,1:RIM_ONE_r3,PPC_FROZEN,16,16,12,1,0,1,12,4,1,0,0,8,1.0,0.6666666666666666,0.0,0.14587901670736403,0,0,0.0,0
seed_domain,1:RIM_ONE_r3,SHOR_CONFIDENCE_VETO,16,16,7,6,0,1,7,1,6,3,0,6,1.0,0.8571428571428571,0.0,0.14587901670736403,0,0,0.0,0
seed_domain,1:RIM_ONE_r3,SHOR_UV_CF,16,16,9,4,0,1,9,2,4,2,0,7,1.0,0.7777777777777778,0.0,0.12650746417944037,0,0,0.0,0
seed_domain,1:RIM_ONE_r3,SHOR_UV_GAIN_ONLY,16,16,4,9,0,1,4,1,9,3,0,3,1.0,0.75,0.0,0.14587901670736403,0,0,0.0,0
seed_domain,1:RIM_ONE_r3,SHOR_UV_ROUTED_ONLY,16,16,5,8,0,1,5,1,8,3,0,4,1.0,0.8,0.0,0.02346223161642258,0,0,0.0,0
seed_domain,2:Drishti_GS,CURRENT,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,2:Drishti_GS,RIDGE_HARD_FROZEN,10,10,2,0,2,2,0,2,0,0,0,0,0.0,0.0,-0.524484126691303,0.6092980941497506,2,2,-0.524484126691303,2
seed_domain,2:Drishti_GS,SHOR_FROZEN,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,2:Drishti_GS,PPC_FROZEN,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,2:Drishti_GS,SHOR_CONFIDENCE_VETO,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,2:Drishti_GS,SHOR_UV_CF,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,2:Drishti_GS,SHOR_UV_GAIN_ONLY,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,2:Drishti_GS,SHOR_UV_ROUTED_ONLY,10,10,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,2:REFUGE,CURRENT,40,40,0,40,0,0,0,0,40,2,0,0,,,0.0,0.0,0,0,0.0,0
seed_domain,2:REFUGE,RIDGE_HARD_FROZEN,40,40,40,0,0,0,40,2,0,0,0,38,1.0,0.95,0.0008454143560403526,0.09135116244789632,0,0,0.0008454143560403526,0
seed_domain,2:REFUGE,SHOR_FROZEN,40,40,40,0,0,0,40,2,0,0,0,38,1.0,0.95,0.0008454143560403526,0.09135116244789632,0,0,0.0008454143560403526,0
seed_domain,2:REFUGE,PPC_FROZEN,40,40,39,1,0,0,39,2,1,0,0,37,1.0,0.9487179487179487,0.0,0.09135116244789632,0,0,0.0,0
