batch_id,seed,stage_index,domain,pair_index,candidate,primary,CE_before,CE_after,CE_delta,foreground_Dice_delta,FG_class_CE_deltas,FG_class_Dice_deltas
B0/seed1/stage1/RIM_ONE_r3/pair04,1,1,RIM_ONE_r3,4,P2,False,0.1693570235442252,0.17135058651457669,0.001993562970351498,-0.001309654511528091,"[0.02201477987869427, 0.00528340276055328]","[-0.0026615100236706546, 4.220100061458343e-05]"
B0/seed1/stage1/RIM_ONE_r3/pair04,1,1,RIM_ONE_r3,4,P3,False,0.1693570235442252,0.17122039047106943,0.0018633669268442454,-0.0012316712829166798,"[0.019721182292997907, 0.007227106241576964]","[-0.0022147606491116356, -0.000248581916721613]"
B0/seed1/stage1/RIM_ONE_r3/pair04,1,1,RIM_ONE_r3,4,P4,True,0.1693570235442252,0.17122039047106943,0.0018633669268442454,-0.0012316712829166798,"[0.019721182292997907, 0.00722710624157652]","[-0.0022147606491116356, -0.000248581916721613]"
B0/seed1/stage1/RIM_ONE_r3/pair05,1,1,RIM_ONE_r3,5,P0,False,0.1693570235442252,0.17111523913176865,0.0017582155875434657,-0.0012713170388591877,"[0.013707572395073031, 0.0216969556658122]","[-0.0013415085253242198, -0.0012011255523940445]"
B0/seed1/stage1/RIM_ONE_r3/pair05,1,1,RIM_ONE_r3,5,P1,False,0.1693570235442252,0.17111523913176865,0.0017582155875434657,-0.0012713170388591877,"[0.013707572395073031, 0.0216969556658122]","[-0.0013415085253242198, -0.0012011255523940445]"
B0/seed1/stage1/RIM_ONE_r3/pair05,1,1,RIM_ONE_r3,5,P2,False,0.1693570235442252,0.17132151141650995,0.001964487872284759,-0.0012006151291328315,"[0.022694007480321465, 0.002306569360045696]","[-0.002612615372965532, 0.0002113851146998691]"
B0/seed1/stage1/RIM_ONE_r3/pair05,1,1,RIM_ONE_r3,5,P3,False,0.1693570235442252,0.1713909280985423,0.002033904554317123,-0.001451836514393956,"[0.02221665787085292, 0.005738818067054785]","[-0.0025475398502842195, -0.0003561331785035815]"
B0/seed1/stage1/RIM_ONE_r3/pair05,1,1,RIM_ONE_r3,5,P4,True,0.1693570235442252,0.1713909280985423,0.002033904554317123,-0.001451836514393956,"[0.02221665787085292, 0.005738818067055007]","[-0.0025475398502842195, -0.0003561331785035815]"
B0/seed1/stage1/RIM_ONE_r3/pair06,1,1,RIM_ONE_r3,6,P0,False,0.1693570235442252,0.1713083873777383,0.0019513638335131034,-0.0018179267662715715,"[0.014629776304619702, 0.02512727660187486]","[-0.0015311178755360588, -0.002104735657006973]"
B0/seed1/stage1/RIM_ONE_r3/pair06,1,1,RIM_ONE_r3,6,P1,False,0.1693570235442252,0.1713083873777383,0.0019513638335131034,-0.0018179267662715715,"[0.014629776304619702, 0.02512727660187486]","[-0.0015311178755360588, -0.002104735657006973]"
B0/seed1/stage1/RIM_ONE_r3/pair06,1,1,RIM_ONE_r3,6,P2,False,0.1693570235442252,0.17159291271918317,0.0022358891749579834,-0.001735746332133914,"[0.02409793810847427, 0.006852377291798106]","[-0.002781063801040262, -0.0006904288632275657]"
B0/seed1/stage1/RIM_ONE_r3/pair06,1,1,RIM_ONE_r3,6,P3,False,0.1693570235442252,0.17149730001949642,0.0021402764752712355,-0.0014679999756255224,"[0.023472099527398038, 0.005759834985643364]","[-0.0026004918399539223, -0.0003355081112969005]"
B0/seed1/stage1/RIM_ONE_r3/pair06,1,1,RIM_ONE_r3,6,P4,True,0.1693570235442252,0.1714973000194964,0.002140276475271208,-0.0014679999756255224,"[0.023472099527397816, 0.005759834985643364]","[-0.0026004918399539223, -0.0003355081112969005]"
B0/seed1/stage1/RIM_ONE_r3/pair07,1,1,RIM_ONE_r3,7,P0,False,0.1693570235442252,0.17158729329458472,0.0022302697503595315,-0.0017812427674660514,"[0.024661285713225345, 0.0055947026426761415]","[-0.003724431524402272, 0.00016194598947028016]"
B0/seed1/stage1/RIM_ONE_r3/pair07,1,1,RIM_ONE_r3,7,P1,False,0.1693570235442252,0.17158729329458472,0.0022302697503595315,-0.0017812427674660514,"[0.024661285713225345, 0.0055947026426761415]","[-0.003724431524402272, 0.00016194598947028016]"
B0/seed1/stage1/RIM_ONE_r3/pair07,1,1,RIM_ONE_r3,7,P2,False,0.1693570235442252,0.1710499910751526,0.0016929675309274028,-0.0013588798692872883,"[0.01845379541481229, 0.004784481691755493]","[-0.0025316028028351534, -0.00018615693573931225]"
B0/seed1/stage1/RIM_ONE_r3/pair07,1,1,RIM_ONE_r3,7,P3,False,0.1693570235442252,0.1708939497313454,0.0015369261871202022,-0.0012184061752080755,"[0.016142315511107785, 0.006361935217791936]","[-0.002066864579111427, -0.00036994777130461287]"
B0/seed1/stage1/RIM_ONE_r3/pair07,1,1,RIM_ONE_r3,7,P4,True,0.1693570235442252,0.1708939497313454,0.0015369261871202022,-0.0012184061752080755,"[0.016142315511107785, 0.006361935217791936]","[-0.002066864579111427, -0.00036994777130461287]"
B0/seed1/stage2/Drishti_GS/pair00,1,2,Drishti_GS,0,P0,False,0.48902879529412363,0.4923177154724997,0.0032889201783760647,-0.0036288619852921644,"[0.04681489626138857, -0.00626073788319903]","[-0.004983002561767924, -0.0022747214088164047]"
