batch_id,seed,stage_index,domain,pair_index,candidate,primary,CE_before,CE_after,CE_delta,foreground_Dice_delta,FG_class_CE_deltas,FG_class_Dice_deltas
B0/seed0/stage2/Drishti_GS/pair04,0,2,Drishti_GS,4,P0,False,0.1619076320068411,0.16243521573912717,0.0005275837322860633,0.0013810200870335576,"[0.022963020925442668, -0.01832238845508133]","[-0.0008018487342106306, 0.003563888908277746]"
B0/seed0/stage2/Drishti_GS/pair04,0,2,Drishti_GS,4,P1,False,0.1619076320068411,0.16243521573912717,0.0005275837322860633,0.0013810200870335576,"[0.022963020925442668, -0.01832238845508133]","[-0.0008018487342106306, 0.003563888908277746]"
B0/seed0/stage2/Drishti_GS/pair04,0,2,Drishti_GS,4,P2,False,0.1619076320068411,0.1631447519314046,0.00123711992456349,-0.0004438192029017074,"[0.013432257994546837, 0.0032481553651722006]","[-0.0007693449046364265, -0.00011829350116709936]"
B0/seed0/stage2/Drishti_GS/pair04,0,2,Drishti_GS,4,P3,False,0.1619076320068411,0.16222038543260897,0.00031275342576786436,-0.0001260054295595392,"[0.004131914594415309, 0.0016869027975801032]","[-0.0003592186717357171, 0.00010720781261652768]"
B0/seed0/stage2/Drishti_GS/pair04,0,2,Drishti_GS,4,P4,True,0.1619076320068411,0.16221519165933576,0.00030755965249465445,-0.00011824415566763502,"[0.004079895364305419, 0.0016913400612036389]","[-0.00035008573587247405, 0.000113597424537204]"
B0/seed0/stage2/Drishti_GS/pair05,0,2,Drishti_GS,5,P0,False,0.1619076320068411,0.16095029210659914,-0.0009573399002419658,-0.0011339402811185728,"[-0.011933004361053379, 0.014237683626947106]","[0.0005987922854946426, -0.002866672847731788]"
B0/seed0/stage2/Drishti_GS/pair05,0,2,Drishti_GS,5,P1,False,0.1619076320068411,0.16095029210659914,-0.0009573399002419658,-0.0011339402811185728,"[-0.011933004361053379, 0.014237683626947106]","[0.0005987922854946426, -0.002866672847731788]"
B0/seed0/stage2/Drishti_GS/pair05,0,2,Drishti_GS,5,P2,False,0.1619076320068411,0.16163487726562956,-0.0002727547412115505,4.1191581091393203e-05,"[-0.0015550712325255178, 0.0036463804171155134]","[0.00024149793929684193, -0.0001591147771139445]"
B0/seed0/stage2/Drishti_GS/pair05,0,2,Drishti_GS,5,P3,False,0.1619076320068411,0.16179851491708983,-0.00010911708975128165,-0.00042296968692057124,"[-0.0018628090481153103, 0.004131558842213057]","[-0.00016366961939739966, -0.0006822697544437428]"
B0/seed0/stage2/Drishti_GS/pair05,0,2,Drishti_GS,5,P4,True,0.1619076320068411,0.1617992084876479,-0.00010842351919321258,-0.00037620922772807486,"[-0.0018172438230246168, 0.0042181665526555]","[-0.00012297255144566588, -0.0006294459040104838]"
B0/seed0/stage2/Drishti_GS/pair06,0,2,Drishti_GS,6,P0,False,0.1619076320068411,0.16258880011805352,0.0006811681112124102,0.0016088761591565026,"[0.022052439957877756, -0.020321315759485314]","[-0.0007979250622289769, 0.004015677380541982]"
B0/seed0/stage2/Drishti_GS/pair06,0,2,Drishti_GS,6,P1,False,0.1619076320068411,0.16258880011805352,0.0006811681112124102,0.0016088761591565026,"[0.022052439957877756, -0.020321315759485314]","[-0.0007979250622289769, 0.004015677380541982]"
B0/seed0/stage2/Drishti_GS/pair06,0,2,Drishti_GS,6,P2,False,0.1619076320068411,0.1626137130765225,0.0007060810696813968,9.147573281742538e-05,"[0.008467718939387248, 0.0009375253385310311]","[-0.0003002152054508711, 0.0004831666710858329]"
B0/seed0/stage2/Drishti_GS/pair06,0,2,Drishti_GS,6,P3,False,0.1619076320068411,0.16184514276028164,-6.24892465594662e-05,0.00044209957014196277,"[0.0004474185068457093, -0.0004457456853506625]","[0.00020823699660510453, 0.000675962143678932]"
B0/seed0/stage2/Drishti_GS/pair06,0,2,Drishti_GS,6,P4,True,0.1619076320068411,0.16182993594077066,-7.769606607044288e-05,0.000441651946662458,"[0.0004777499201682467, -0.00039142149778070845]","[0.00019897809400970523, 0.0006843257993152108]"
B0/seed0/stage2/Drishti_GS/pair07,0,2,Drishti_GS,7,P0,False,0.1619076320068411,0.1612382697604843,-0.0006693622463568027,-0.0008195898789224998,"[-0.007364486922871172, 0.011913703756825544]","[0.0005800216841778116, -0.0022192014420227]"
B0/seed0/stage2/Drishti_GS/pair07,0,2,Drishti_GS,7,P1,False,0.1619076320068411,0.1612382697604843,-0.0006693622463568027,-0.0008195898789224998,"[-0.007364486922871172, 0.011913703756825544]","[0.0005800216841778116, -0.0022192014420227]"
B0/seed0/stage2/Drishti_GS/pair07,0,2,Drishti_GS,7,P2,False,0.1619076320068411,0.16202197714393737,0.0001143451370962667,0.0002804622183121275,"[0.0038161952114045272, 0.0018389220990294164]","[0.00023698362377422288, 0.0003239408128501431]"
B0/seed0/stage2/Drishti_GS/pair07,0,2,Drishti_GS,7,P3,False,0.1619076320068411,0.16207654617397257,0.00016891416713146756,0.0001729376653094583,"[0.002571778526938906, 0.0016697578346784314]","[0.00010507049411334624, 0.00024080483650545936]"
B0/seed0/stage2/Drishti_GS/pair07,0,2,Drishti_GS,7,P4,True,0.1619076320068411,0.16207497114735137,0.00016733914051025867,0.00017403752543798667,"[0.0025554863169010567, 0.0016734474392690601]","[0.00010609966902463963, 0.00024197538185144474]"
B0/seed1/stage1/RIM_ONE_r3/pair00,1,1,RIM_ONE_r3,0,P0,False,0.298316895005374,0.29820270005184263,-0.00011419495353137687,-0.0008344375925271041,"[0.024583763415178206, -0.006918876971282906]","[-0.002031936726604733, 0.0003630615415504135]"
