batch_id,seed,stage_index,domain,pair_index,candidate,primary,panel,class_id,mode,pixels,old_correct_pixels,CE_delta,Dice_delta,old_KL_delta
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,current,1,1,115679,55701,0.0036336589186138912,-0.00012659536406189886,0.0006764928677813753
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,current,2,0,33508,16135,0.013032526040653636,0.000680590074984111,0.018159021802883313
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,current,2,1,56070,16507,0.020769389154452256,-0.0010217171952943138,0.011161351933893116
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,train_labeled,0,0,1088216,1053535,-6.420846151648004e-05,1.4749334688812787e-05,4.716556167383423e-05
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,train_labeled,0,1,1047141,990719,-0.00019582354755197373,3.912232104097413e-05,0.0001227329115180975
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,train_labeled,1,0,32718,8075,-0.0023743379250425467,0.000386343493866792,-0.0011796467799648491
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,train_labeled,1,1,147563,66736,2.6049450802062557e-05,6.34502012282212e-05,-0.001561206001584603
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,train_labeled,2,0,17467,7011,-0.0034080997811890557,0.0016518837600407732,0.0004887445548188429
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P3,False,train_labeled,2,1,26191,8239,4.008801004717899e-05,-0.0001373081129213416,0.0014612435419275593
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,previous,0,0,957041,927068,-0.00010160418345329242,6.284726788763351e-06,-0.00022784617446447442
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,previous,0,1,1119863,1076252,-0.0003201484094558782,1.6200507511276996e-05,0.0004168607094150456
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,previous,1,0,100406,9784,0.002319951020862021,-0.0008375294625617702,-0.0009905211835317118
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,previous,1,1,119769,44140,0.007392750477177579,-0.0004066960647010065,-0.0025159245533812324
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,previous,2,0,26125,10279,-0.0020509769237313513,0.0004987087306482785,-0.0005163519039985687
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,previous,2,1,36092,10008,-0.03494417318849852,-3.706725368757269e-05,-0.0018381243181129214
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,current,0,0,1160289,1111266,-0.00016721268594361086,9.525981461422361e-06,-2.2599457127903122e-05
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,current,0,1,952668,848242,-0.0005684494904729664,2.0998182595710624e-05,-0.0013352325726159187
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,current,1,0,41082,8363,-0.029701990707213355,-0.00015614863224977515,-0.00950223459933719
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,current,1,1,115679,55701,0.003433077212557256,-9.20666006123394e-05,-0.0002504622731684947
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,current,2,0,33508,16135,0.014869910559805355,0.0005348104402216336,0.018238402851440405
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,current,2,1,56070,16507,0.02198339735378152,-0.0010217171952943138,0.010294187186228765
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,train_labeled,0,0,1088216,1053535,-6.483543120104716e-05,1.4749334688812787e-05,4.6404591758086866e-07
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,train_labeled,0,1,1047141,990719,-0.0001967962826099276,4.1537179394146584e-05,4.0245620603895915e-06
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,train_labeled,1,0,32718,8075,-0.002361236830254354,0.00035275970913550836,-0.002315139117413434
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,train_labeled,1,1,147563,66736,2.4108281076545834e-05,3.5252182878364735e-06,-0.0023140018690630537
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,train_labeled,2,0,17467,7011,-0.0029670712219151962,0.0015340180706222561,-0.00036508393385215054
B0/seed0/stage1/RIM_ONE_r3/pair00,0,1,RIM_ONE_r3,0,P4,True,train_labeled,2,1,26191,8239,3.63510051202276e-05,5.491444316496619e-05,9.9461088435282e-06
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,previous,0,0,957041,927068,3.0568873015581616e-05,3.1423732567148477e-06,0.0004058444948267237
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,previous,0,1,1119863,1076252,0.00016990585590575397,-1.1700691709526367e-05,-0.0004890570115985149
B0/seed0/stage1/RIM_ONE_r3/pair01,0,1,RIM_ONE_r3,1,P0,False,previous,1,0,100406,9784,-0.12352123094107625,0.002232469862915143,-0.06807107534132761
