seed,variant,trained_through_site_index,trained_through_site,class,k,candidate_count,overall_admission_rate,objective,mode_jsd,smallest_cluster,largest_cluster,smallest_cluster_admission_rate,largest_cluster_admission_rate,smallest_cluster_retention_ratio,criterion_jsd,criterion_admission_gap,criterion_retention,mode_coverage_problem,cluster,cluster_occupancy,candidate_proportion,admitted_proportion,deferred_proportion,cluster_accuracy,cluster_admission_rate,smallest_cluster_retention,cluster_to_anchor_cosine,site_origin_composition,boundary_composition
1,R0,0,REFUGE,1,4,214943,1.0,6351.345652043819,0.0,2,0,1.0,1.0,1.0,False,False,False,False,2,38327,0.17831238979636463,0.17831238979636463,nan,0.5970725598142301,1.0,1.0,0.8726521134376526,"{""Drishti_GS"": 0.16901922926396534, ""REFUGE"": 0.5943329767526809, ""RIM_ONE_r3"": 0.23664779398335378}",0.16560127325384194
1,R0,0,REFUGE,1,4,214943,1.0,6351.345652043819,0.0,2,0,1.0,1.0,1.0,False,False,False,False,3,62470,0.29063519165546214,0.29063519165546214,nan,0.8800864414919162,1.0,1.0,0.985643744468689,"{""Drishti_GS"": 0.08413638546502321, ""REFUGE"": 0.732991836081319, ""RIM_ONE_r3"": 0.18287177845365776}",0.0687690091243797
1,R0,0,REFUGE,2,4,58366,1.0,2089.0375254154205,0.0,0,2,1.0,1.0,1.0,False,False,False,False,0,9644,0.1652331837028407,0.1652331837028407,nan,0.8175031107424305,1.0,1.0,0.8579548597335815,"{""Drishti_GS"": 0.2915802571547076, ""REFUGE"": 0.4167357942762339, ""RIM_ONE_r3"": 0.2916839485690585}",0.13023641642472003
1,R0,0,REFUGE,2,4,58366,1.0,2089.0375254154205,0.0,0,2,1.0,1.0,1.0,False,False,False,False,1,15129,0.25920912860226847,0.25920912860226847,nan,0.9374049838059356,1.0,1.0,0.9980530142784119,"{""Drishti_GS"": 0.13279132791327913, ""REFUGE"": 0.6582721924780224, ""RIM_ONE_r3"": 0.20893647960869852}",0.08625817965496728
1,R0,0,REFUGE,2,4,58366,1.0,2089.0375254154205,0.0,0,2,1.0,1.0,1.0,False,False,False,False,2,17005,0.2913511290819998,0.2913511290819998,nan,0.9809467803587181,1.0,1.0,0.8449527025222778,"{""Drishti_GS"": 0.14442810937959424, ""REFUGE"": 0.7140840929138489, ""RIM_ONE_r3"": 0.1414877977065569}",0.02646280505733608
1,R0,0,REFUGE,2,4,58366,1.0,2089.0375254154205,0.0,0,2,1.0,1.0,1.0,False,False,False,False,3,16588,0.28420655861289107,0.28420655861289107,nan,0.7507234145165179,1.0,1.0,0.8267951011657715,"{""Drishti_GS"": 0.1363033518205932, ""REFUGE"": 0.6417892452375211, ""RIM_ONE_r3"": 0.2219074029418857}",0.19339281408246925
1,R0,1,RIM_ONE_r3,1,4,162090,1.0,4902.829849183559,0.0,2,1,1.0,1.0,1.0,False,False,False,False,0,43987,0.27137392806465543,0.27137392806465543,nan,0.8417032304999205,1.0,1.0,0.9665405750274658,"{""Drishti_GS"": 0.08964012094482461, ""REFUGE"": 0.7077318298588219, ""RIM_ONE_r3"": 0.20262804919635347}",0.10096164775956533
1,R0,1,RIM_ONE_r3,1,4,162090,1.0,4902.829849183559,0.0,2,1,1.0,1.0,1.0,False,False,False,False,1,47769,0.2947066444567833,0.2947066444567833,nan,0.6714396365843958,1.0,1.0,0.8976113796234131,"{""Drishti_GS"": 0.21432309656890453, ""REFUGE"": 0.5266804831585338, ""RIM_ONE_r3"": 0.2589964202725617}",0.1481714082354665
1,R0,1,RIM_ONE_r3,1,4,162090,1.0,4902.829849183559,0.0,2,1,1.0,1.0,1.0,False,False,False,False,2,26762,0.16510580541674377,0.16510580541674377,nan,0.4888648083102907,1.0,1.0,0.9027043581008911,"{""Drishti_GS"": 0.1528286376205067, ""REFUGE"": 0.6198340931171064, ""RIM_ONE_r3"": 0.22733726926238695}",0.18160077722143336
1,R0,1,RIM_ONE_r3,1,4,162090,1.0,4902.829849183559,0.0,2,1,1.0,1.0,1.0,False,False,False,False,3,43572,0.2688136220618175,0.2688136220618175,nan,0.7876847516753879,1.0,1.0,0.9934492707252502,"{""Drishti_GS"": 0.18651886532635636, ""REFUGE"": 0.57302855044524, ""RIM_ONE_r3"": 0.24045258422840357}",0.12315248324612137
1,R0,1,RIM_ONE_r3,2,4,45357,1.0,2986.19442909956,0.0,3,2,1.0,1.0,1.0,False,False,False,False,0,11348,0.2501929139934299,0.2501929139934299,nan,0.9584948889672189,1.0,1.0,0.9682565927505493,"{""Drishti_GS"": 0.15791328868523088, ""REFUGE"": 0.6236341205498767, ""RIM_ONE_r3"": 0.21845259076489248}",0.044324991187874516
1,R0,1,RIM_ONE_r3,2,4,45357,1.0,2986.19442909956,0.0,3,2,1.0,1.0,1.0,False,False,False,False,1,8507,0.18755649624093304,0.18755649624093304,nan,0.8992594334077818,1.0,1.0,0.8636429309844971,"{""Drishti_GS"": 0.3867403314917127, ""REFUGE"": 0.287175267426825, ""RIM_ONE_r3"": 0.3260844010814623}",0.06853179734336429
1,R0,1,RIM_ONE_r3,2,4,45357,1.0,2986.19442909956,0.0,3,2,1.0,1.0,1.0,False,False,False,False,2,18801,0.41451154176863547,0.41451154176863547,nan,0.8430934524759321,1.0,1.0,0.9291774034500122,"{""Drishti_GS"": 0.1911068560182969, ""REFUGE"": 0.5249720759534068, ""RIM_ONE_r3"": 0.28392106802829636}",0.11674910908994203
