seed,variant,trained_through_site,trained_through_site_index,evaluation_site,class,region,state,count,correct_count,pseudo_label_accuracy,precision,correct_candidate_recall,coverage_within_candidate,patient_coverage,image_coverage,boundary_distance_mean,boundary_distance_q25,boundary_distance_q50,boundary_distance_q75,component_size_mean,component_size_q50,learnability_mean,logit_margin_mean,anchor_margin_mean,spatial_consistency_mean
1,R1,RIM_ONE_r3,1,Drishti_GS,1,all,admitted,15188,7325,0.4822886489333684,0.4822886489333684,0.8056533216014078,0.8007169970476592,1.0,1.0,-3.393390179088563,-13.518518447875977,-1.5,10.404796600341797,7260.037397945746,0.0,0.6830211388408816,9.692050821712245,0.8662882210048588,0.9912945251575357
1,R1,RIM_ONE_r3,1,Drishti_GS,1,all,deferred,3780,1767,0.46746031746031746,0.46746031746031746,0.19434667839859218,0.19928300295234078,1.0,1.0,-5.0739802683472,-14.620081901550293,-1.5,10.136581420898438,6991.686243386243,0.0,0.2624607530863532,4.2751700994396025,0.6316901090126189,0.9028736757380622
1,R1,RIM_ONE_r3,1,Drishti_GS,1,boundary,candidate,2452,1258,0.5130505709624796,0.5130505709624796,1.0,1.0,1.0,1.0,-0.013891679524986428,-1.6625703573226929,0.0,1.6625703573226929,6955.544861337684,6399.0,0.6078158316565572,8.73142706991749,0.844996554415436,0.9764697666706891
1,R1,RIM_ONE_r3,1,Drishti_GS,1,boundary,admitted,2025,1078,0.5323456790123456,0.5323456790123456,0.8569157392686805,0.8258564437194127,0.95,0.95,-0.020998955243899498,-1.6625703573226929,0.0,1.6625703573226929,7258.992098765432,7601.0,0.6831928742925326,9.669559834798177,0.8854683695163256,0.9902351555706542
1,R1,RIM_ONE_r3,1,Drishti_GS,1,boundary,deferred,427,180,0.4215456674473068,0.4215456674473068,0.14308426073131955,0.17414355628058728,1.0,1.0,0.0198137849499526,-1.6625703573226929,0.0,1.6625703573226929,5516.480093676815,0.0,0.25034859198946025,4.282436791502062,0.6530634734334655,0.9111889410912293
1,R1,RIM_ONE_r3,1,Drishti_GS,1,interior,candidate,7834,7834,1.0,1.0,1.0,1.0,1.0,1.0,12.9481493479018,7.617660045623779,12.031220436096191,17.5,15271.767424049018,15905.0,0.6033477111787787,8.672958946970613,0.8222012629131897,0.9648627922383991
1,R1,RIM_ONE_r3,1,Drishti_GS,1,interior,admitted,6247,6247,1.0,1.0,0.7974214960428899,0.7974214960428899,0.9473684210526315,0.9473684210526315,13.106404021012606,7.533331394195557,12.359207153320312,17.684744834899902,15297.901232591645,15905.0,0.6871206710958587,9.676459992296394,0.8759910013793238,0.9891871429833103
1,R1,RIM_ONE_r3,1,Drishti_GS,1,interior,deferred,1587,1587,1.0,1.0,0.20257850395711002,0.20257850395711002,1.0,1.0,12.32520231392373,7.705252408981323,11.346800804138184,16.271137237548828,15168.895400126024,15905.0,0.2735873579324024,4.722819671513678,0.6104656005326351,0.8691134418266407
1,R1,RIM_ONE_r3,1,Drishti_GS,1,exterior_near_boundary,candidate,1142,261,0.22854640980735552,0.22854640980735552,1.0,1.0,1.0,1.0,-1.8929690387745872,-2.5566930770874023,-2.1196770668029785,-1.5,2993.211908931699,0.0,0.6115296693606834,8.79541847929228,0.8509940753728412,0.9779060853550605
1,R1,RIM_ONE_r3,1,Drishti_GS,1,exterior_near_boundary,admitted,949,227,0.23919915700737618,0.23919915700737618,0.8697318007662835,0.8309982486865148,0.95,0.95,-1.9043490761072543,-2.5566930770874023,-2.1196770668029785,-1.5,3121.118018967334,0.0,0.6841068868343773,9.691518541382287,0.8897577788920247,0.992007564129141
1,R1,RIM_ONE_r3,1,Drishti_GS,1,exterior_near_boundary,deferred,193,34,0.17616580310880828,0.17616580310880828,0.13026819923371646,0.1690017513134851,0.925,0.925,-1.8370122748953073,-2.5,-1.6625703573226929,-1.3535534143447876,2364.2849740932643,0.0,0.25466034613511107,4.389206256891161,0.6603891290531257,0.9085677259944264
1,R1,RIM_ONE_r3,1,Drishti_GS,1,exterior_far,candidate,8682,0,0.0,0.0,nan,1.0,1.0,1.0,-19.82494759820513,-25.352516174316406,-15.190463066101074,-8.529411315917969,0.0,0.0,0.5930472603991355,8.524486442068856,0.8099421639715408,0.9808344575109857
1,R1,RIM_ONE_r3,1,Drishti_GS,1,exterior_far,admitted,6916,0,0.0,0.0,nan,0.7965906473162866,0.975,0.975,-19.28455654639878,-24.91485595703125,-14.991666793823242,-8.500089645385742,0.0,0.0,0.679267879400969,9.712718861021356,0.8519080778968479,0.9935082382656647
1,R1,RIM_ONE_r3,1,Drishti_GS,1,exterior_far,deferred,1766,0,0.0,0.0,nan,0.20340935268371343,1.0,1.0,-21.941224220114954,-27.06821060180664,-15.89037036895752,-9.23298454284668,0.0,0.0,0.2553905214315928,3.8711368330793365,0.6455954704792286,0.931201463343738
1,R1,RIM_ONE_r3,1,Drishti_GS,2,all,candidate,8671,7928,0.9143120747318648,0.9143120747318648,1.0,1.0,1.0,1.0,24.486789957652963,13.656668663024902,25.548973083496094,36.94252395629883,9449.02779379541,10056.0,0.6250991833393785,9.042964970911887,0.7939200582711593,0.9826721941059593
1,R1,RIM_ONE_r3,1,Drishti_GS,2,all,admitted,6953,6407,0.9214727455774486,0.9214727455774486,0.8081483350151363,0.8018682966209203,1.0,1.0,25.891239387584765,15.564395904541016,27.106271743774414,37.90448760986328,9485.982597439954,10056.0,0.6974657606871955,9.917611052985501,0.8564851454619999,0.997060193237805
1,R1,RIM_ONE_r3,1,Drishti_GS,2,all,deferred,1718,1521,0.8853317811408614,0.8853317811408614,0.19185166498486378,0.1981317033790797,1.0,1.0,18.802775472020937,7.921483993530273,18.50675678253174,29.77834701538086,9299.466239813737,10056.0,0.3322209456796748,5.503142963544107,0.5407099003911157,0.9244418344064697
1,R1,RIM_ONE_r3,1,Drishti_GS,2,boundary,candidate,347,194,0.5590778097982709,0.5590778097982709,1.0,1.0,1.0,1.0,0.23451597615002898,-1.6625703573226929,0.6035534143447876,2.1196770668029785,2920.6541786743514,1969.0,0.5655433166052835,8.181601702050449,0.7431370008747584,0.971809386519946
1,R1,RIM_ONE_r3,1,Drishti_GS,2,boundary,admitted,232,128,0.5517241379310345,0.5517241379310345,0.6597938144329897,0.6685878962536023,0.6190476190476191,0.6190476190476191,0.22037685996499554,-1.6625703573226929,0.6035534143447876,2.1196770668029785,2563.573275862069,1782.5,0.6949557749361828,9.579965054988861,0.8725173045592062,0.9986145319095974
1,R1,RIM_ONE_r3,1,Drishti_GS,2,boundary,deferred,115,66,0.5739130434782609,0.5739130434782609,0.3402061855670103,0.3314121037463977,1.0,1.0,0.26304010619287904,-1.8911237120628357,0.6035534143447876,2.1196770668029785,3641.026086956522,2174.0,0.3044677484942519,5.360555633513823,0.4821263012678727,0.9177329192990842
1,R1,RIM_ONE_r3,1,Drishti_GS,2,interior,candidate,7734,7734,1.0,1.0,1.0,1.0,1.0,1.0,28.480309560467237,17.751880645751953,27.901596069335938,38.232887268066406,10462.76868373416,10848.0,0.629698556524665,9.081470101245204,0.7970034473120226,0.9836667020838175
1,R1,RIM_ONE_r3,1,Drishti_GS,2,interior,admitted,6279,6279,1.0,1.0,0.8118696664080682,0.8118696664080682,0.975609756097561,0.975609756097561,29.58223071203127,19.306734085083008,29.338542938232422,39.13758087158203,10409.505972288582,10848.0,0.698153060745388,9.91895430107788,0.8549277792692298,0.9970268904450859
1,R1,RIM_ONE_r3,1,Drishti_GS,2,interior,deferred,1455,1455,1.0,1.0,0.18813033359193174,0.18813033359193174,1.0,1.0,23.725008590934202,12.99039077758789,21.926010131835938,32.322593688964844,10692.621993127148,11110.0,0.3342856135680196,5.467337255369347,0.5470330828039097,0.926011291279416
1,R1,RIM_ONE_r3,1,Drishti_GS,2,exterior_near_boundary,candidate,148,29,0.19594594594594594,0.19594594594594594,1.0,1.0,1.0,1.0,-1.853385277696558,-2.5,-2.1196770668029785,-1.3535534143447876,1065.1554054054054,0.0,0.5646997934610054,8.254961499692621,0.7633303911299318,0.9728161193229057
1,R1,RIM_ONE_r3,1,Drishti_GS,2,exterior_near_boundary,admitted,100,20,0.2,0.2,0.6896551724137931,0.6756756756756757,0.6666666666666666,0.6666666666666666,-1.8365197372436524,-2.5,-1.6625703573226929,-1.3535534143447876,985.3,0.0,0.697568878531456,9.669245057106018,0.9019274026155472,0.9978571426868439
1,R1,RIM_ONE_r3,1,Drishti_GS,2,exterior_near_boundary,deferred,48,9,0.1875,0.1875,0.3103448275862069,0.32432432432432434,1.0,1.0,-1.888521820306778,-2.556693136692047,-2.178694248199463,-1.1660534143447876,1231.5208333333333,0.0,0.2878891995642334,5.308537421748042,0.4745866172015667,0.9206473206480345
1,R1,RIM_ONE_r3,1,Drishti_GS,2,exterior_far,candidate,590,0,0.0,0.0,nan,1.0,1.0,1.0,-13.59853468062514,-17.399715423583984,-10.891080379486084,-6.689623832702637,0.0,0.0,0.5998353418846757,9.04481984599162,0.7833688550076242,0.9760245153459451
1,R1,RIM_ONE_r3,1,Drishti_GS,2,exterior_far,admitted,442,0,0.0,0.0,nan,0.7491525423728813,0.9,0.9,-13.06825024995329,-15.443493366241455,-10.523809432983398,-6.523613929748535,0.0,0.0,0.6890195155035856,10.075754982313958,0.8701938364435645,0.9967174368206732
1,R1,RIM_ONE_r3,1,Drishti_GS,2,exterior_far,deferred,148,0,0.0,0.0,nan,0.25084745762711863,1.0,1.0,-15.182221966820794,-19.57676124572754,-13.21450424194336,-7.905684113502502,0.0,0.0,0.33348801256333654,5.96594599292085,0.5240672212597486,0.914225384995744
1,R1,RIM_ONE_r3,1,REFUGE,1,all,candidate,94072,73521,0.7815396717407943,0.7815396717407943,1.0,1.0,1.0,1.0,5.404627609576322,1.5,8.645849227905273,14.239036560058594,10183.177364146612,12188.0,0.5494879196782757,8.705544207175098,0.8915764376383618,0.978233800359081
1,R1,RIM_ONE_r3,1,REFUGE,1,all,admitted,75327,58009,0.770095716011523,0.770095716011523,0.7890126630486528,0.8007377328004082,1.0,1.0,5.400866701022549,0.6035534143447876,9.124488830566406,14.585951805114746,10042.588500803166,12167.0,0.6481302113679375,9.965042221461824,0.9194929073953362,0.993758526176073
1,R1,RIM_ONE_r3,1,REFUGE,1,all,deferred,18745,15512,0.8275273406241664,0.8275273406241664,0.21098733695134722,0.1992622671995918,1.0,1.0,5.419740864237839,2.5566933155059814,7.7942118644714355,12.599617004394531,10748.135342758069,12377.0,0.15309272596757154,3.644236822689842,0.7793937800025329,0.9158475095286437
1,R1,RIM_ONE_r3,1,REFUGE,1,boundary,candidate,11521,7457,0.6472528426351879,0.6472528426351879,1.0,1.0,1.0,1.0,0.28759362374563907,-1.5,0.6035534143447876,2.1196770668029785,7954.824234007465,10233.0,0.5434313904053971,8.82950277690796,0.8604146859477392,0.9689502029428878
1,R1,RIM_ONE_r3,1,REFUGE,1,boundary,admitted,9067,5700,0.6286533583324142,0.6286533583324142,0.7643824594340888,0.7869976564534329,0.9874213836477987,0.9874213836477987,0.21894713152568526,-1.5161237716674805,0.6035534143447876,2.1196770668029785,7768.010698136098,9933.0,0.6504213981493918,10.100378940330788,0.8904086620131598,0.987219580639496
1,R1,RIM_ONE_r3,1,REFUGE,1,boundary,deferred,2454,1757,0.7159739201303994,0.7159739201303994,0.23561754056591122,0.21300234354656714,0.9937106918238994,0.9937106918238994,0.5412275866463404,-1.5,1.3535534143447876,2.457106828689575,8645.05990220049,10637.0,0.14812641884272382,4.133889829167624,0.7495934223026013,0.9014487980630403
1,R1,RIM_ONE_r3,1,REFUGE,1,interior,candidate,66064,66064,1.0,1.0,1.0,1.0,1.0,1.0,12.320230278438446,7.921524524688721,12.031204223632812,15.89811897277832,13113.107456405909,13157.0,0.5434313719262073,8.540690058244126,0.9132171926966272,0.9812316956838963
1,R1,RIM_ONE_r3,1,REFUGE,1,interior,admitted,52309,52309,1.0,1.0,0.7917928069750545,0.7917928069750545,0.9937106918238994,0.9937106918238994,12.692657427553597,8.5,12.5,16.446741104125977,13115.248064386626,13145.0,0.647111822885311,9.879649605727154,0.9395254032144071,0.9962745472811885
1,R1,RIM_ONE_r3,1,REFUGE,1,interior,deferred,13755,13755,1.0,1.0,0.2082071930249455,0.2082071930249455,1.0,1.0,10.903924081196399,6.964908599853516,10.404796600341797,14.448614120483398,13104.966921119592,13209.0,0.14914415206290274,3.448750038666536,0.8131694875730683,0.9240251144986723
