arm,baseline,order,seed,domain,role,metric,delta
GN_CIST_L,ISO_COND_L,O1,63,Drishti_GS,current,cup_dice,0.08290394451006977
GN_CIST_L,ISO_COND_L,O2,61,RIM_ONE_r3,current,rim_dice,0.03586384146619204
GN_CIST_L,ISO_COND_L,O2,61,RIM_ONE_r3,current,cup_dice,0.04006717217637068
GN_CIST_L,ISO_COND_L,O2,61,Drishti_GS,old,rim_dice,0.011789287820046956
GN_CIST_L,ISO_COND_L,O2,61,Drishti_GS,old,cup_dice,0.02581084564083086
GN_CIST_L,ISO_COND_L,O2,62,RIM_ONE_r3,current,rim_dice,0.06099573791683455
GN_CIST_L,ISO_COND_L,O2,62,RIM_ONE_r3,current,cup_dice,0.07020441135602573
GN_CIST_L,ISO_COND_L,O2,62,Drishti_GS,old,rim_dice,-0.04385490266598263
GN_CIST_L,ISO_COND_L,O2,62,Drishti_GS,old,cup_dice,0.1728273597998119
GN_CIST_L,ISO_COND_L,O2,63,RIM_ONE_r3,current,rim_dice,0.05789820699370396
GN_CIST_L,ISO_COND_L,O2,63,RIM_ONE_r3,current,cup_dice,0.07996531426337072
GN_CIST_L,ISO_COND_L,O2,63,Drishti_GS,old,rim_dice,0.041624140241509344
GN_CIST_L,ISO_COND_L,O2,63,Drishti_GS,old,cup_dice,-0.12299876366158202
