arm,baseline,order,seed,domain,n,mean,q00,q05,q25,q50,q75,q95,q100,harm_below_minus005,harm_below_minus001
DPR_FINITE_U,DPR_U,O1,62,Drishti_GS,25,-0.010710894664095057,-0.06839662051358752,-0.04250350786153882,-0.01932253155786201,-0.013707627885897855,-0.004296135213735619,0.02973455644389493,0.05699784224260562,1,17
DPR_FINITE_U,DPR_U,O1,63,RIM_ONE_r3,40,-0.03079496459877205,-0.26685038221605106,-0.13624387177467498,-0.05445512847896805,-0.028780974373531665,0.01330358108746365,0.06310159815728203,0.08816556289626232,12,24
DPR_FINITE_U,DPR_U,O1,63,Drishti_GS,25,-0.0024987788519817956,-0.11283749051040148,-0.08232917116501821,-0.030554602518308105,-0.007544074594810324,0.030580928168017718,0.06886721051332531,0.15080030554997137,4,12
DPR_FINITE_U,DPR_U,O2,61,RIM_ONE_r3,40,-0.0018887526768530658,-0.08034172028544906,-0.06401171930779409,-0.029060299077447282,-0.0032347699616936954,0.0074953813839085115,0.08887927058109409,0.12251725660896495,5,18
DPR_FINITE_U,DPR_U,O2,61,Drishti_GS,25,0.003255389998856665,-0.2522412815898376,-0.10887686990596376,-0.015147063044415598,0.004906416306781791,0.05232508751176068,0.10525810377336814,0.12049220638745722,5,7
DPR_FINITE_U,DPR_U,O2,62,RIM_ONE_r3,40,-0.01028585493813049,-0.10535319223964928,-0.06970325649498371,-0.03698252736371799,-0.006620072745201877,0.01172470521406066,0.04802054440185704,0.0848954073517687,9,19
DPR_FINITE_U,DPR_U,O2,62,Drishti_GS,25,-0.03407777397591948,-0.3031048541926332,-0.19332503579965665,-0.08202062948183225,-0.008024236402498941,0.030571200522808428,0.07813242144526593,0.11479396203008757,9,12
DPR_FINITE_U,DPR_U,O2,63,RIM_ONE_r3,40,-0.0082374847864664,-0.19109346853485826,-0.08976698936279606,-0.024020411898922678,0.0027471551570550368,0.014282600371555931,0.04967176347775849,0.13414806530049328,6,14
DPR_FINITE_U,DPR_U,O2,63,Drishti_GS,25,-0.05136627984687751,-0.23563675872739412,-0.17785926108743305,-0.08202943506365418,-0.058479455026740235,-0.011267221756614987,0.0987418728245398,0.2060041610037321,14,19
DPR_FINITE_U,RESPONSE_U,O1,61,RIM_ONE_r3,40,-0.0076956764002696024,-0.08061872048551744,-0.06686483383771862,-0.024795772167056612,-0.010486111266219678,0.00037446723811501714,0.030761288481461313,0.21158330613481957,3,21
DPR_FINITE_U,RESPONSE_U,O1,61,Drishti_GS,25,-0.01581187810166556,-0.1636490806944495,-0.11434519049891664,-0.020010366684715897,-0.010218273427840208,0.0018543085122351144,0.0471357649016884,0.05697822954093135,3,13
DPR_FINITE_U,RESPONSE_U,O1,62,RIM_ONE_r3,40,-0.00406844602411332,-0.23701055223204037,-0.05368654113752758,-0.010336441965903734,0.0005433245026457145,0.012810450091582548,0.042251695923409244,0.08737980874036205,3,10
DPR_FINITE_U,RESPONSE_U,O1,62,Drishti_GS,25,-0.008346860246182752,-0.053378333200746586,-0.0438354330005466,-0.02411822192345925,-0.0089697833295872,0.0021731552867939596,0.0205045725325347,0.06100365288865506,1,12
DPR_FINITE_U,RESPONSE_U,O1,63,RIM_ONE_r3,40,-0.02084117514221672,-0.3025147832543147,-0.15248458532605544,-0.04275061094125057,-0.01497506305044724,0.024622849735044625,0.08837098494602823,0.15134912861445193,9,22
DPR_FINITE_U,RESPONSE_U,O1,63,Drishti_GS,25,-0.006635476553357538,-0.08875081097653748,-0.08346125344864332,-0.03718908381633301,0.0010982456442759636,0.01663081071588579,0.04464132134151889,0.1261129617418636,4,11
DPR_FINITE_U,RESPONSE_U,O2,61,RIM_ONE_r3,40,0.001844389854940838,-0.09770860254661362,-0.05710177215125344,-0.03119500951539439,-0.006788131762308025,0.016348413061004152,0.0518252714815064,0.23187869239675635,4,18
DPR_FINITE_U,RESPONSE_U,O2,61,Drishti_GS,25,-0.013218835423899355,-0.25062832339843977,-0.11235119142579195,-0.03341651674911836,0.0036881669172816878,0.022251213506334966,0.056226837821361925,0.06686018456541182,5,10
DPR_FINITE_U,RESPONSE_U,O2,62,RIM_ONE_r3,40,-0.008324591050329523,-0.10588928647392593,-0.08628621840681158,-0.035587453458605284,-0.010254532163283314,0.01183752451607284,0.05969443753186031,0.19054476037526713,7,20
DPR_FINITE_U,RESPONSE_U,O2,62,Drishti_GS,25,0.006284754432366408,-0.2352228140150031,-0.15535779667472915,-0.03145628576694981,0.00884220829722604,0.08124650232287772,0.10410409272916486,0.17982024962071141,5,10
DPR_FINITE_U,RESPONSE_U,O2,63,RIM_ONE_r3,40,-0.019889808007509224,-0.5241776820669594,-0.10201337074269345,-0.03646747507394328,-0.001814512505340038,0.013661115853006306,0.06056161002553798,0.0758792214629333,9,16
DPR_FINITE_U,RESPONSE_U,O2,63,Drishti_GS,25,-0.04237220566892546,-0.35035335442416027,-0.2791907536007011,-0.06743484530116484,-0.01375951272346565,0.0294396978108048,0.09118029470734167,0.10009279079602579,10,13
DPR_FINITE_U,DPR_L,O1,61,RIM_ONE_r3,40,-0.008377001603413035,-0.06506037206423038,-0.05362829439055195,-0.024212342965051065,-0.008814752929390435,0.0061686761905264675,0.04622380648579371,0.06904778208932061,4,19
DPR_FINITE_U,DPR_L,O1,61,Drishti_GS,25,-0.013800092000308583,-0.13577049422795318,-0.11399856199827421,-0.024036134688488753,-0.005761274361812729,0.005573791801395389,0.033824946596757624,0.11730054174720916,4,10
