arm,stage,epoch,branch,class_id,pixels,reliable,conflicts,projected,drop_kl_mass,drop_gradient_l2_sum,r_q_norm_sum,r_p_norm_sum,nondegenerate,eta_sum,eta_max,residual_max,smoothing_l1_sum,conflict_rate,predicted_pixels,pas_accepted_pixels,prototype_valid_steps,log_eta_max,log_eta_logsumexp,finite_positive_eta_count,boundary_infinite_eta_count,analytical_brackets,iterations,compensated_v_difference_max
U0,1,45,unlabeled,1,775253,747595,216275,0,477781.83578315255,187489.72680585383,0.0,187489.72680585383,0,0.0,0.0,0.0,0.009978725240232566,0.2892943371745397,775253,747595,32,,,,,,,
U0,1,45,unlabeled,2,205572,199142,28332,0,43688.522040909374,16802.847755552222,0.0,16802.847755552222,0,0.0,0.0,0.0,0.002681969113879087,0.14227033975755993,205572,199142,32,,,,,,,
U0,1,50,labeled,0,8541428,8541428,6158005,0,502321.62037098804,209912.84855126493,0.0,209912.84855126493,0,0.0,0.0,0.0,0.11360657032071561,0.7209573153341572,,,,,,,,,,
U0,1,50,labeled,1,721124,721124,249888,0,576419.5732232287,212838.10419681034,0.0,212838.10419681034,0,0.0,0.0,0.0,0.009310419416458559,0.3465257015437012,,,,,,,,,,
U0,1,50,labeled,2,174632,174632,32862,0,48879.13334779879,22823.015204502935,0.0,22823.015204502935,0,0.0,0.0,0.0,0.0022795541992520906,0.1881785697924779,,,,,,,,,,
U0,1,50,unlabeled,0,8308109,8081801,6287671,0,188962.71281580327,39969.53202288862,0.0,39969.53202288862,0,0.0,0.0,0.0,0.1105317775242045,0.7780036900190935,8308109,8081801,32,,,,,,,
U0,1,50,unlabeled,1,772859,746088,224967,0,587879.898429808,195753.97795235115,0.0,195753.97795235115,0,0.0,0.0,0.0,0.009945572257224006,0.30152877408563067,772859,746088,32,,,,,,,
U0,1,50,unlabeled,2,208760,200572,23211,0,26495.560823542764,15438.140521430021,0.0,15438.140521430021,0,0.0,0.0,0.0,0.0027189364853556284,0.11572402927626987,208760,200572,32,,,,,,,
U0,1,55,labeled,0,8541428,8541428,6502390,0,498063.5295880877,199021.15959037805,0.0,199021.15959037805,0,0.0,0.0,0.0,0.11360251453241407,0.7612766858188116,,,,,,,,,,
U0,1,55,labeled,1,721124,721124,259772,0,703069.1781460991,224802.49221302036,0.0,224802.49221302036,0,0.0,0.0,0.0,0.009306822966388753,0.36023208213843944,,,,,,,,,,
U0,1,55,labeled,2,174632,174632,35697,0,72111.69849361926,22515.97175358658,0.0,22515.97175358658,0,0.0,0.0,0.0,0.0022794157642921273,0.20441270786568327,,,,,,,,,,
U0,1,55,unlabeled,0,8320498,7680792,6052974,0,32518.63882680602,2620.450501368281,0.0,2620.450501368281,0,0.0,0.0,0.0,0.11069761347090595,0.7880663869038506,8320498,7680792,32,,,,,,,
U0,1,55,unlabeled,1,760252,733541,220327,0,630340.8389612229,194342.63172532333,0.0,194342.63172532333,0,0.0,0.0,0.0,0.009783505860323382,0.30036085235862753,760252,733541,32,,,,,,,
U0,1,55,unlabeled,2,208978,203471,33209,0,48356.27965386668,19525.46093039791,0.0,19525.46093039791,0,0.0,0.0,0.0,0.0027202869919454504,0.16321244796555776,208978,203471,32,,,,,,,
U0,1,60,labeled,0,8541428,8541428,6522629,0,349092.54056711454,178524.26882388358,0.0,178524.26882388358,0,0.0,0.0,0.0,0.11360329198468147,0.7636461959288307,,,,,,,,,,
U0,1,60,labeled,1,721124,721124,261953,0,716686.692947017,201509.47174528628,0.0,201509.47174528628,0,0.0,0.0,0.0,0.009305095812806346,0.36325652731014363,,,,,,,,,,
U0,1,60,labeled,2,174632,174632,38252,0,62846.99369921368,19310.39762946665,0.0,19310.39762946665,0,0.0,0.0,0.0,0.002280229041185752,0.21904347427733747,,,,,,,,,,
U0,1,60,unlabeled,0,8347465,7526291,5804690,0,108506.81861396866,7476.200054678271,0.0,7476.200054678271,0,0.0,0.0,0.0,0.11102833555989565,0.7712550577701554,8347465,7526291,32,,,,,,,
U0,1,60,unlabeled,1,728840,696309,218964,0,642966.8283319781,187871.59987946242,0.0,187871.59987946242,0,0.0,0.0,0.0,0.009392986365983277,0.3144638371757366,728840,696309,32,,,,,,,
U0,1,60,unlabeled,2,213423,205348,40699,0,104221.3255702267,26160.348058504693,0.0,26160.348058504693,0,0.0,0.0,0.0,0.0027801965257790665,0.198195258780217,213423,205348,32,,,,,,,
U0,1,65,labeled,0,8541428,8541428,6362305,0,443139.91893595154,217461.13398223705,0.0,217461.13398223705,0,0.0,0.0,0.0,0.11360527928488887,0.7448760324386039,,,,,,,,,,
U0,1,65,labeled,1,721124,721124,254713,0,718117.3463435959,223912.62293394908,0.0,223912.62293394908,0,0.0,0.0,0.0,0.009310368034883748,0.35321664512621964,,,,,,,,,,
U0,1,65,labeled,2,174632,174632,34178,0,53435.556768528426,23196.04597618816,0.0,23196.04597618816,0,0.0,0.0,0.0,0.0022811219701689856,0.19571441660176828,,,,,,,,,,
U0,1,65,unlabeled,0,8309618,7532268,4851980,0,7142.13275099209,854.373952824241,0.0,854.373952824241,0,0.0,0.0,0.0,0.11055433183666559,0.64415923596983,8309618,7532268,32,,,,,,,
U0,1,65,unlabeled,1,775357,745613,220808,0,490436.66802376404,180650.8872607657,0.0,180650.8872607657,0,0.0,0.0,0.0,0.009979890498391958,0.2961429052336802,775357,745613,32,,,,,,,
U0,1,65,unlabeled,2,204753,198063,30854,0,45762.397465013426,19160.89805602107,0.0,19160.89805602107,0,0.0,0.0,0.0,0.002670738286964793,0.15577871687291417,204753,198063,32,,,,,,,
U0,1,70,labeled,0,8541428,8541428,6569393,0,582162.4600968193,221195.84245041263,0.0,221195.84245041263,0,0.0,0.0,0.0,0.11360484839348206,0.7691211586633991,,,,,,,,,,
U0,1,70,labeled,1,721124,721124,259775,0,716941.7906325585,237440.51999006112,0.0,237440.51999006112,0,0.0,0.0,0.0,0.009306565394817602,0.3602362423106151,,,,,,,,,,
U0,1,70,labeled,2,174632,174632,34593,0,72431.13832190381,24011.616008708625,0.0,24011.616008708625,0,0.0,0.0,0.0,0.0022796485545671435,0.1980908424572816,,,,,,,,,,
U0,1,70,unlabeled,0,8299252,8014747,6092305,0,55690.7530842895,16301.684564769428,0.0,16301.684564769428,0,0.0,0.0,0.0,0.11042609555379265,0.7601369076279014,8299252,8014747,32,,,,,,,
U0,1,70,unlabeled,1,780828,755116,226574,0,533657.8052018321,188258.13635720196,0.0,188258.13635720196,0,0.0,0.0,0.0,0.010039668325106575,0.3000519125538328,780828,755116,32,,,,,,,
U0,1,70,unlabeled,2,209648,203832,32788,0,50568.27424903854,20984.516104207378,0.0,20984.516104207378,0,0.0,0.0,0.0,0.002730732917532275,0.160857961458456,209648,203832,32,,,,,,,
U0,1,75,labeled,0,8541428,8541428,6741300,0,588492.083799666,221151.0210566926,0.0,221151.0210566926,0,0.0,0.0,0.0,0.11360417803918213,0.7892474185815299,,,,,,,,,,
U0,1,75,labeled,1,721124,721124,253081,0,719950.9246367734,231608.6489111895,0.0,231608.6489111895,0,0.0,0.0,0.0,0.00930873644097994,0.35095351146266107,,,,,,,,,,
U0,1,75,labeled,2,174632,174632,42460,0,77932.7993957305,25778.572961990478,0.0,25778.572961990478,0,0.0,0.0,0.0,0.0022783613043616266,0.24313985981950617,,,,,,,,,,
U0,1,75,unlabeled,0,8284141,7740972,5529803,0,15626.757194205658,2539.3260538264285,0.0,2539.3260538264285,0,0.0,0.0,0.0,0.11023484103334454,0.7143551223283071,8284141,7740972,32,,,,,,,
U0,1,75,unlabeled,1,802574,776835,241306,0,595333.1940461355,205558.11999480578,0.0,205558.11999480578,0,0.0,0.0,0.0,0.010319793360072068,0.3106270958440338,802574,776835,32,,,,,,,
U0,1,75,unlabeled,2,203013,197262,38572,0,43354.21816107215,17412.74815215861,0.0,17412.74815215861,0,0.0,0.0,0.0,0.0026498784037061827,0.1955369001632347,203013,197262,32,,,,,,,
U0,1,80,labeled,0,8541428,8541428,6405025,0,570551.5266931318,224927.54970845397,0.0,224927.54970845397,0,0.0,0.0,0.0,0.11359927239857684,0.7498775380416483,,,,,,,,,,
U0,1,80,labeled,1,721124,721124,257394,0,761122.8777141554,230581.39639773717,0.0,230581.39639773717,0,0.0,0.0,0.0,0.0093112268954997,0.35693445232720034,,,,,,,,,,
U0,1,80,labeled,2,174632,174632,40426,0,65633.37149626871,21651.735208722454,0.0,21651.735208722454,0,0.0,0.0,0.0,0.0022788938646661765,0.2314925099638096,,,,,,,,,,
U0,1,80,unlabeled,0,8276637,7774012,5788707,0,14047.265717250102,2931.799299206579,0.0,2931.799299206579,0,0.0,0.0,0.0,0.11014000646574673,0.7446228536822428,8276637,7774012,32,,,,,,,
U0,1,80,unlabeled,1,809029,784781,240953,0,536383.1853468507,194528.47913694434,0.0,194528.47913694434,0,0.0,0.0,0.0,0.010403017589604765,0.30703215291909464,809029,784781,32,,,,,,,
U0,1,80,unlabeled,2,204062,199542,34139,0,56156.779925446506,19402.148410398833,0.0,19402.148410398833,0,0.0,0.0,0.0,0.0026605203977140253,0.17108678874622887,204062,199542,32,,,,,,,
U0,1,85,labeled,0,8541428,8541428,6347143,0,625628.6777444538,224307.2415154666,0.0,224307.2415154666,0,0.0,0.0,0.0,0.11360781200295558,0.7431009194247145,,,,,,,,,,
U0,1,85,labeled,1,721124,721124,257742,0,736083.1394673828,239447.67238217243,0.0,239447.67238217243,0,0.0,0.0,0.0,0.00930706931188682,0.3574170322995768,,,,,,,,,,
