panel_id,seed,stage_index,domain,class_id,K,role,stratum,null_mass,registered_count,null_count,Q_null_worst_case,R95_null_worst_case,Q_directional_conditional,R95_directional
C0-student,0,2,Drishti_GS,0,5,train_labeled,boundary,0.0,862,0,0.026318112909360803,0.37776534269703427,0.026318112909360803,0.37776534269703427
C0-student,0,2,Drishti_GS,0,5,train_labeled,interior,0.0,15098,0,0.009110345449786592,0.23677507550071497,0.009110345449786592,0.23677507550071497
C0-student,0,2,Drishti_GS,0,5,val,boundary,0.0,651,0,0.026737304296325745,0.4167620334221241,0.026737304296325745,0.4167620334221241
C0-student,0,2,Drishti_GS,0,5,val,interior,0.0,12074,0,0.009753501574528953,0.2419958215198159,0.009753501574528953,0.2419958215198159
C0-student,0,2,Drishti_GS,1,1,train_labeled,boundary,0.0,4276,0,0.01849877656925111,0.3209193596275724,0.01849877656925111,0.3209193596275724
C0-student,0,2,Drishti_GS,1,1,train_labeled,interior,0.0,11684,0,0.00870224955095569,0.24421734420089666,0.00870224955095569,0.24421734420089666
C0-student,0,2,Drishti_GS,1,1,val,boundary,0.0,3621,0,0.026571584744412072,0.4244489857521925,0.026571584744412072,0.4244489857521925
C0-student,0,2,Drishti_GS,1,1,val,interior,0.0,9104,0,0.012149755727429703,0.28045731203058116,0.012149755727429703,0.28045731203058116
C0-student,0,2,Drishti_GS,1,2,train_labeled,boundary,0.0,4276,0,0.006566765966664462,0.2157839389352328,0.006566765966664462,0.2157839389352328
C0-student,0,2,Drishti_GS,1,2,train_labeled,interior,0.0,11684,0,0.0037136399196255844,0.13849695523395159,0.0037136399196255844,0.13849695523395159
C0-student,0,2,Drishti_GS,1,2,val,boundary,0.0,3621,0,0.012724762624032496,0.32655229117609563,0.012724762624032496,0.32655229117609563
C0-student,0,2,Drishti_GS,1,2,val,interior,0.0,9104,0,0.005370368955848372,0.1761833399719588,0.005370368955848372,0.1761833399719588
C0-student,0,2,Drishti_GS,1,3,train_labeled,boundary,0.0,4276,0,0.004156278541555519,0.1709799316454051,0.004156278541555519,0.1709799316454051
C0-student,0,2,Drishti_GS,1,3,train_labeled,interior,0.0,11684,0,0.0022316011447290397,0.10689660761974129,0.0022316011447290397,0.10689660761974129
C0-student,0,2,Drishti_GS,1,3,val,boundary,0.0,3621,0,0.009135694615272943,0.2833732974602403,0.009135694615272943,0.2833732974602403
C0-student,0,2,Drishti_GS,1,3,val,interior,0.0,9104,0,0.003518803671354043,0.12850186658578205,0.003518803671354043,0.12850186658578205
C0-student,0,2,Drishti_GS,1,5,train_labeled,boundary,0.0,4276,0,0.00214575393642127,0.1193734230470081,0.00214575393642127,0.1193734230470081
C0-student,0,2,Drishti_GS,1,5,train_labeled,interior,0.0,11684,0,0.0013972992597185072,0.09086806315445176,0.0013972992597185072,0.09086806315445176
C0-student,0,2,Drishti_GS,1,5,val,boundary,0.0,3621,0,0.005819621122590009,0.20420010357929858,0.005819621122590009,0.20420010357929858
C0-student,0,2,Drishti_GS,1,5,val,interior,0.0,9104,0,0.0023073438186121567,0.10535602282879639,0.0023073438186121567,0.10535602282879639
C0-student,0,2,Drishti_GS,2,1,train_labeled,boundary,0.0,2732,0,0.010281812389096243,0.2865330695293881,0.010281812389096243,0.2865330695293881
C0-student,0,2,Drishti_GS,2,1,train_labeled,interior,0.0,13228,0,0.00721436010344816,0.24992500362508482,0.00721436010344816,0.24992500362508482
C0-student,0,2,Drishti_GS,2,1,val,boundary,0.0,2019,0,0.012181416213847477,0.33618962909797184,0.012181416213847477,0.33618962909797184
C0-student,0,2,Drishti_GS,2,1,val,interior,0.0,10706,0,0.013472084743663433,0.3717846944753739,0.013472084743663433,0.3717846944753739
C0-student,0,2,Drishti_GS,2,2,train_labeled,boundary,0.0,2732,0,0.006946183487946905,0.2531015643398906,0.006946183487946905,0.2531015643398906
C0-student,0,2,Drishti_GS,2,2,train_labeled,interior,0.0,13228,0,0.003782318211771816,0.15215771282990984,0.003782318211771816,0.15215771282990984
C0-student,0,2,Drishti_GS,2,2,val,boundary,0.0,2019,0,0.007771040140439926,0.26674633091899214,0.007771040140439926,0.26674633091899214
C0-student,0,2,Drishti_GS,2,2,val,interior,0.0,10706,0,0.0068887087881629025,0.24415389665893045,0.0068887087881629025,0.24415389665893045
C0-student,0,2,Drishti_GS,2,3,train_labeled,boundary,0.0,2732,0,0.006137144663290892,0.24139874362671004,0.006137144663290892,0.24139874362671004
C0-student,0,2,Drishti_GS,2,3,train_labeled,interior,0.0,13228,0,0.0023659582959179946,0.12763739418886919,0.0023659582959179946,0.12763739418886919
C0-student,0,2,Drishti_GS,2,3,val,boundary,0.0,2019,0,0.006118474015952992,0.24100225036162062,0.006118474015952992,0.24100225036162062
C0-student,0,2,Drishti_GS,2,3,val,interior,0.0,10706,0,0.003754805726317081,0.1480449985751663,0.003754805726317081,0.1480449985751663
C0-student,0,2,Drishti_GS,2,5,train_labeled,boundary,0.0,2732,0,0.002148509854212526,0.1360222921802167,0.002148509854212526,0.1360222921802167
C0-student,0,2,Drishti_GS,2,5,train_labeled,interior,0.0,13228,0,0.0015136639627289334,0.10659690385780475,0.0015136639627289334,0.10659690385780475
C0-student,0,2,Drishti_GS,2,5,val,boundary,0.0,2019,0,0.0026765583281254837,0.13461537566520487,0.0026765583281254837,0.13461537566520487
C0-student,0,2,Drishti_GS,2,5,val,interior,0.0,10706,0,0.0025282513242221917,0.12247813430144301,0.0025282513242221917,0.12247813430144301
C0-student,1,0,REFUGE,0,1,train_labeled,boundary,0.0,2785,0,0.20360447812424493,0.8510786870155806,0.20360447812424493,0.8510786870155806
C0-student,1,0,REFUGE,0,1,train_labeled,interior,0.0,53215,0,0.15884363993212697,0.7606222919724293,0.15884363993212697,0.7606222919724293
C0-student,1,0,REFUGE,0,1,val,boundary,0.0,6973,0,0.20445061618868454,0.8972002080705375,0.20445061618868454,0.8972002080705375
C0-student,1,0,REFUGE,0,1,val,interior,0.0,135527,0,0.16067313587649604,0.7645940584887027,0.16067313587649604,0.7645940584887027
C0-student,1,0,REFUGE,0,2,train_labeled,boundary,0.0,2785,0,0.11575085051882059,0.690083594409608,0.11575085051882059,0.690083594409608
C0-student,1,0,REFUGE,0,2,train_labeled,interior,0.0,53215,0,0.07145076241475129,0.618639642599841,0.07145076241475129,0.618639642599841
C0-student,1,0,REFUGE,0,2,val,boundary,0.0,6973,0,0.119733830853292,0.7528492614111536,0.119733830853292,0.7528492614111536
C0-student,1,0,REFUGE,0,2,val,interior,0.0,135527,0,0.07323972536857848,0.6234365989410946,0.07323972536857848,0.6234365989410946
C0-student,1,0,REFUGE,0,3,train_labeled,boundary,0.0,2785,0,0.07617514235115211,0.6083290090817789,0.07617514235115211,0.6083290090817789
C0-student,1,0,REFUGE,0,3,train_labeled,interior,0.0,53215,0,0.04286441311639738,0.47638854672869513,0.04286441311639738,0.47638854672869513
