panel_id,seed,stage_index,domain,class_id,K,role,slot,occupancy_active_conditional,null_mass
B0-EMA,0,2,Drishti_GS,0,5,train_labeled,1,0.2625939849624125,0.0
B0-EMA,0,2,Drishti_GS,0,5,train_labeled,2,0.11697994987468917,0.0
B0-EMA,0,2,Drishti_GS,0,5,train_labeled,3,0.1985588972431156,0.0
B0-EMA,0,2,Drishti_GS,0,5,train_labeled,4,0.15037593984962871,0.0
B0-EMA,0,2,Drishti_GS,0,5,val,0,0.2836935166994223,0.0
B0-EMA,0,2,Drishti_GS,0,5,val,1,0.2733988212180853,0.0
B0-EMA,0,2,Drishti_GS,0,5,val,2,0.12015717092337527,0.0
B0-EMA,0,2,Drishti_GS,0,5,val,3,0.17500982318271194,0.0
B0-EMA,0,2,Drishti_GS,0,5,val,4,0.14774066797642238,0.0
B0-EMA,0,2,Drishti_GS,1,1,train_labeled,0,0.9999999999997287,0.0
B0-EMA,0,2,Drishti_GS,1,1,val,0,1.0000000000000835,0.0
B0-EMA,0,2,Drishti_GS,1,2,train_labeled,0,0.3660401002505941,0.0
B0-EMA,0,2,Drishti_GS,1,2,train_labeled,1,0.63395989974924,0.0
B0-EMA,0,2,Drishti_GS,1,2,val,0,0.29956777996072054,0.0
B0-EMA,0,2,Drishti_GS,1,2,val,1,0.7004322200393461,0.0
B0-EMA,0,2,Drishti_GS,1,3,train_labeled,0,0.22882205513785445,0.0
B0-EMA,0,2,Drishti_GS,1,3,train_labeled,1,0.23070175438597487,0.0
B0-EMA,0,2,Drishti_GS,1,3,train_labeled,2,0.5404761904760923,0.0
B0-EMA,0,2,Drishti_GS,1,3,val,0,0.1889980353634599,0.0
B0-EMA,0,2,Drishti_GS,1,3,val,1,0.3985854616896106,0.0
B0-EMA,0,2,Drishti_GS,1,3,val,2,0.4124165029469794,0.0
B0-EMA,0,2,Drishti_GS,1,5,train_labeled,0,0.2656641604010078,0.0
B0-EMA,0,2,Drishti_GS,1,5,train_labeled,1,0.18464912280702447,0.0
B0-EMA,0,2,Drishti_GS,1,5,train_labeled,2,0.19580200501253897,0.0
B0-EMA,0,2,Drishti_GS,1,5,train_labeled,3,0.03715538847117792,0.0
B0-EMA,0,2,Drishti_GS,1,5,train_labeled,4,0.31672932330825676,0.0
B0-EMA,0,2,Drishti_GS,1,5,val,0,0.19497053045186916,0.0
B0-EMA,0,2,Drishti_GS,1,5,val,1,0.15968565815324084,0.0
B0-EMA,0,2,Drishti_GS,1,5,val,2,0.3749312377210424,0.0
B0-EMA,0,2,Drishti_GS,1,5,val,3,0.01508840864440072,0.0
B0-EMA,0,2,Drishti_GS,1,5,val,4,0.25532416502947836,0.0
B0-EMA,0,2,Drishti_GS,2,1,train_labeled,0,0.9999999999997287,0.0
B0-EMA,0,2,Drishti_GS,2,1,val,0,1.0000000000000835,0.0
B0-EMA,0,2,Drishti_GS,2,2,train_labeled,0,0.6077067669171697,0.0
B0-EMA,0,2,Drishti_GS,2,2,train_labeled,1,0.39229323308266434,0.0
B0-EMA,0,2,Drishti_GS,2,2,val,0,0.7036542239686195,0.0
B0-EMA,0,2,Drishti_GS,2,2,val,1,0.29634577603144713,0.0
B0-EMA,0,2,Drishti_GS,2,3,train_labeled,0,0.18421052631579637,0.0
B0-EMA,0,2,Drishti_GS,2,3,train_labeled,1,0.45225563909767935,0.0
B0-EMA,0,2,Drishti_GS,2,3,train_labeled,2,0.3635338345864346,0.0
B0-EMA,0,2,Drishti_GS,2,3,val,0,0.1340667976424328,0.0
B0-EMA,0,2,Drishti_GS,2,3,val,1,0.5859332023576058,0.0
B0-EMA,0,2,Drishti_GS,2,3,val,2,0.2800000000000113,0.0
B0-EMA,0,2,Drishti_GS,2,5,train_labeled,0,0.058521303258144385,0.0
B0-EMA,0,2,Drishti_GS,2,5,train_labeled,1,0.11265664160401219,0.0
B0-EMA,0,2,Drishti_GS,2,5,train_labeled,2,0.3113408521303139,0.0
B0-EMA,0,2,Drishti_GS,2,5,train_labeled,3,0.20939849624061005,0.0
B0-EMA,0,2,Drishti_GS,2,5,train_labeled,4,0.30808270676690663,0.0
B0-EMA,0,2,Drishti_GS,2,5,val,0,0.016110019646365357,0.0
B0-EMA,0,2,Drishti_GS,2,5,val,1,0.08495088408644279,0.0
B0-EMA,0,2,Drishti_GS,2,5,val,2,0.44919449901770997,0.0
B0-EMA,0,2,Drishti_GS,2,5,val,3,0.17823182711198535,0.0
B0-EMA,0,2,Drishti_GS,2,5,val,4,0.271512770137535,0.0
B0-EMA,1,0,REFUGE,0,1,train_labeled,0,1.0000000000008653,0.0
B0-EMA,1,0,REFUGE,0,1,val,0,1.0000000000010862,0.0
B0-EMA,1,0,REFUGE,0,2,train_labeled,0,0.46426785714270336,0.0
B0-EMA,1,0,REFUGE,0,2,train_labeled,1,0.5357321428570287,0.0
B0-EMA,1,0,REFUGE,0,2,val,0,0.4696842105254922,0.0
B0-EMA,1,0,REFUGE,0,2,val,1,0.5303157894728666,0.0
B0-EMA,1,0,REFUGE,0,3,train_labeled,0,0.31137499999999896,0.0
B0-EMA,1,0,REFUGE,0,3,train_labeled,1,0.3569642857142391,0.0
B0-EMA,1,0,REFUGE,0,3,train_labeled,2,0.33166071428569294,0.0
B0-EMA,1,0,REFUGE,0,3,val,0,0.30941754385944364,0.0
B0-EMA,1,0,REFUGE,0,3,val,1,0.3562035087715439,0.0
B0-EMA,1,0,REFUGE,0,3,val,2,0.3343789473681193,0.0
B0-EMA,1,0,REFUGE,0,5,train_labeled,0,0.3132321428571399,0.0
B0-EMA,1,0,REFUGE,0,5,train_labeled,1,0.1527142857142919,0.0
B0-EMA,1,0,REFUGE,0,5,train_labeled,2,0.18880357142859766,0.0
B0-EMA,1,0,REFUGE,0,5,train_labeled,3,0.1888214285714548,0.0
B0-EMA,1,0,REFUGE,0,5,train_labeled,4,0.15642857142857966,0.0
B0-EMA,1,0,REFUGE,0,5,val,0,0.31183157894715363,0.0
B0-EMA,1,0,REFUGE,0,5,val,1,0.14660350877194334,0.0
B0-EMA,1,0,REFUGE,0,5,val,2,0.19863157894738703,0.0
B0-EMA,1,0,REFUGE,0,5,val,3,0.19320701754387773,0.0
B0-EMA,1,0,REFUGE,0,5,val,4,0.1497263157894875,0.0
B0-EMA,1,0,REFUGE,1,1,train_labeled,0,1.0000000000008653,0.0
B0-EMA,1,0,REFUGE,1,1,val,0,1.0000000000010862,0.0
B0-EMA,1,0,REFUGE,1,2,train_labeled,0,0.6428750000001119,0.0
B0-EMA,1,0,REFUGE,1,2,train_labeled,1,0.35712499999995323,0.0
B0-EMA,1,0,REFUGE,1,2,val,0,0.6784701754383794,0.0
B0-EMA,1,0,REFUGE,1,2,val,1,0.3215298245611513,0.0
B0-EMA,1,0,REFUGE,1,3,train_labeled,0,0.3819285714284999,0.0
B0-EMA,1,0,REFUGE,1,3,train_labeled,1,0.3213571428571318,0.0
B0-EMA,1,0,REFUGE,1,3,train_labeled,2,0.2967142857142993,0.0
B0-EMA,1,0,REFUGE,1,3,val,0,0.40939649122747906,0.0
B0-EMA,1,0,REFUGE,1,3,val,1,0.2869964912279512,0.0
B0-EMA,1,0,REFUGE,1,3,val,2,0.3036070175436766,0.0
B0-EMA,1,0,REFUGE,1,5,train_labeled,0,0.2458928571429151,0.0
B0-EMA,1,0,REFUGE,1,5,train_labeled,1,0.1804642857143073,0.0
B0-EMA,1,0,REFUGE,1,5,train_labeled,2,0.12021428571427757,0.0
B0-EMA,1,0,REFUGE,1,5,train_labeled,3,0.272964285714323,0.0
B0-EMA,1,0,REFUGE,1,5,train_labeled,4,0.1804642857143073,0.0
B0-EMA,1,0,REFUGE,1,5,val,0,0.2601473684210372,0.0
B0-EMA,1,0,REFUGE,1,5,val,1,0.18621052631580687,0.0
B0-EMA,1,0,REFUGE,1,5,val,2,0.11368421052632606,0.0
B0-EMA,1,0,REFUGE,1,5,val,3,0.2792771929823669,0.0
B0-EMA,1,0,REFUGE,1,5,val,4,0.16068070175440086,0.0
B0-EMA,1,0,REFUGE,2,1,train_labeled,0,1.0000000000008653,0.0
B0-EMA,1,0,REFUGE,2,1,val,0,1.0000000000010862,0.0
B0-EMA,1,0,REFUGE,2,2,train_labeled,0,0.38974999999992066,0.0
B0-EMA,1,0,REFUGE,2,2,train_labeled,1,0.6102500000000431,0.0
B0-EMA,1,0,REFUGE,2,2,val,0,0.3955719298240236,0.0
B0-EMA,1,0,REFUGE,2,2,val,1,0.6044280701749214,0.0
B0-EMA,1,0,REFUGE,2,3,train_labeled,0,0.365517857142802,0.0
B0-EMA,1,0,REFUGE,2,3,train_labeled,1,0.32758928571426843,0.0
