arm,baseline,metric,scope,order,seed,delta,sample_SD
ISO_COND_LU,ISO_RANDOM_LU,Forget,seed_order,O2,61,-0.051151912132852695,
ISO_COND_LU,ISO_RANDOM_LU,Forget,seed_order,O2,62,0.004356546093462532,
ISO_COND_LU,ISO_RANDOM_LU,Forget,seed_order,O2,63,-0.05301501292870586,
ISO_COND_LU,ISO_RANDOM_LU,Forget,seed_order_average,both,61,0.006800112540821218,
ISO_COND_LU,ISO_RANDOM_LU,Forget,seed_order_average,both,62,-0.005865137383936375,
ISO_COND_LU,ISO_RANDOM_LU,Forget,seed_order_average,both,63,-0.03672126001323858,
ISO_COND_LU,ISO_RANDOM_LU,Forget,overall,both,,-0.01192876161878458,0.02238533272911967
ISO_COND_LU,F_FULL,Final,seed_order,O1,61,-0.030088533713770516,
ISO_COND_LU,F_FULL,Final,seed_order,O1,62,0.036106411901549396,
ISO_COND_LU,F_FULL,Final,seed_order,O1,63,-0.0480555889352684,
ISO_COND_LU,F_FULL,Final,seed_order,O2,61,-0.02423939412386733,
ISO_COND_LU,F_FULL,Final,seed_order,O2,62,-0.07238641336801555,
ISO_COND_LU,F_FULL,Final,seed_order,O2,63,-0.080580329054323,
ISO_COND_LU,F_FULL,Final,seed_order_average,both,61,-0.027163963918818923,
ISO_COND_LU,F_FULL,Final,seed_order_average,both,62,-0.018140000733233075,
ISO_COND_LU,F_FULL,Final,seed_order_average,both,63,-0.0643179589947957,
ISO_COND_LU,F_FULL,Final,overall,both,,-0.0365406412156159,0.0244753450465536
ISO_COND_LU,F_FULL,Incoming,seed_order,O1,61,-0.09883549158514693,
ISO_COND_LU,F_FULL,Incoming,seed_order,O1,62,-0.07885398509485253,
ISO_COND_LU,F_FULL,Incoming,seed_order,O1,63,-0.1437044947541366,
ISO_COND_LU,F_FULL,Incoming,seed_order,O2,61,-0.08018198288984191,
ISO_COND_LU,F_FULL,Incoming,seed_order,O2,62,-0.08665773644560959,
ISO_COND_LU,F_FULL,Incoming,seed_order,O2,63,-0.16010072513706508,
ISO_COND_LU,F_FULL,Incoming,seed_order_average,both,61,-0.08950873723749442,
ISO_COND_LU,F_FULL,Incoming,seed_order_average,both,62,-0.08275586077023106,
ISO_COND_LU,F_FULL,Incoming,seed_order_average,both,63,-0.15190260994560084,
ISO_COND_LU,F_FULL,Incoming,overall,both,,-0.10805573598444211,0.038122324198162874
ISO_COND_LU,F_FULL,Old,seed_order,O1,61,0.038658424157605786,
ISO_COND_LU,F_FULL,Old,seed_order,O1,62,0.15106680889795132,
ISO_COND_LU,F_FULL,Old,seed_order,O1,63,0.04759331688359969,
ISO_COND_LU,F_FULL,Old,seed_order,O2,61,0.031703194642107135,
ISO_COND_LU,F_FULL,Old,seed_order,O2,62,-0.058115090290421445,
ISO_COND_LU,F_FULL,Old,seed_order,O2,63,-0.0010599329715809125,
ISO_COND_LU,F_FULL,Old,seed_order_average,both,61,0.03518080939985646,
ISO_COND_LU,F_FULL,Old,seed_order_average,both,62,0.04647585930376494,
ISO_COND_LU,F_FULL,Old,seed_order_average,both,63,0.02326669195600939,
ISO_COND_LU,F_FULL,Old,overall,both,,0.034974453553210265,0.01160595964561373
ISO_COND_LU,F_FULL,Forget,seed_order,O1,61,-0.038658424157605786,
ISO_COND_LU,F_FULL,Forget,seed_order,O1,62,-0.15106680889795132,
ISO_COND_LU,F_FULL,Forget,seed_order,O1,63,-0.04759331688359969,
ISO_COND_LU,F_FULL,Forget,seed_order,O2,61,-0.031703194642107135,
ISO_COND_LU,F_FULL,Forget,seed_order,O2,62,0.058115090290421445,
ISO_COND_LU,F_FULL,Forget,seed_order,O2,63,0.0010599329715809125,
ISO_COND_LU,F_FULL,Forget,seed_order_average,both,61,-0.03518080939985646,
ISO_COND_LU,F_FULL,Forget,seed_order_average,both,62,-0.04647585930376494,
ISO_COND_LU,F_FULL,Forget,seed_order_average,both,63,-0.02326669195600939,
ISO_COND_LU,F_FULL,Forget,overall,both,,-0.034974453553210265,0.01160595964561373
ISO_COND_LU,F_CONV,Final,seed_order,O1,61,-0.04328378534978572,
ISO_COND_LU,F_CONV,Final,seed_order,O1,62,0.014011997299315126,
