task_id,seed,order,arm,domain,role,n_patients,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
O1_s62_ISO_COND_L,62,O1,ISO_COND_L,RIM_ONE_r3,old,40,40,0.9856473458092662,0.648836251633689,0.6431334792377855,0.6459848654357372
O1_s62_ISO_COND_L,62,O1,ISO_COND_L,Drishti_GS,current,25,25,0.9772938421260453,0.5847650741685466,0.703115669951305,0.6439403720599259
O1_s62_ISO_COND_LU,62,O1,ISO_COND_LU,RIM_ONE_r3,old,40,40,0.9856428572795,0.6485917708529142,0.64298998027878,0.645790875565847
O1_s62_ISO_COND_LU,62,O1,ISO_COND_LU,Drishti_GS,current,25,25,0.9772992524140749,0.5849744571685164,0.7031420399980148,0.6440582485832655
O1_s62_ISO_RANDOM_LU,62,O1,ISO_RANDOM_LU,RIM_ONE_r3,old,40,40,0.9859528506256435,0.6333171094896375,0.6260909999193859,0.6297040547045117
O1_s62_ISO_RANDOM_LU,62,O1,ISO_RANDOM_LU,Drishti_GS,current,25,25,0.9761187794241546,0.5688154342292361,0.7214045893452594,0.6451100117872477
O2_s62_SCALE_LU,62,O2,SCALE_LU,Drishti_GS,old,25,25,0.9754259346640262,0.6016254165074273,0.22363767927335224,0.4126315478903898
O2_s62_SCALE_LU,62,O2,SCALE_LU,RIM_ONE_r3,current,40,40,0.97757830175635,0.6288881976921527,0.5849760235940454,0.606932110643099
O2_s62_AFFINE_LU,62,O2,AFFINE_LU,Drishti_GS,old,25,25,0.9737230308823349,0.49855686408030936,0.1928338618172768,0.34569536294879305
O2_s62_AFFINE_LU,62,O2,AFFINE_LU,RIM_ONE_r3,current,40,40,0.9832849871118094,0.6273078138204683,0.5862505856106146,0.6067791997155416
O2_s62_ISO_GLOBAL_LU,62,O2,ISO_GLOBAL_LU,Drishti_GS,old,25,25,0.9733367354928852,0.4945225014435995,0.20403981006430252,0.34928115575395097
O2_s62_ISO_GLOBAL_LU,62,O2,ISO_GLOBAL_LU,RIM_ONE_r3,current,40,40,0.9830140830378695,0.632784629081876,0.5846652939548305,0.6087249615183532
O2_s62_ISO_COND_L,62,O2,ISO_COND_L,Drishti_GS,old,25,25,0.9728431380021624,0.4919688027045671,0.18662480884194965,0.3392968057732584
O2_s62_ISO_COND_L,62,O2,ISO_COND_L,RIM_ONE_r3,current,40,40,0.9831939664690378,0.629868660056281,0.5841108196201423,0.6069897398382117
O2_s62_ISO_COND_LU,62,O2,ISO_COND_LU,Drishti_GS,old,25,25,0.9729625287453295,0.4936539030070463,0.1868734681471701,0.3402636855771082
O2_s62_ISO_COND_LU,62,O2,ISO_COND_LU,RIM_ONE_r3,current,40,40,0.983168597613461,0.6297311941109582,0.5842611708564631,0.6069961824837107
