candidate,seed,stage_index,point_kind,class_id,requested_coverage,achieved_coverage,reason,predicted_retained_fraction,true_retained_fraction,true_class_recall,predicted_composition,true_composition,predicted_full_mass,true_full_mass
R1,0,1,registered,2,0.05,0.050000169541890765,,0.056008316470614404,0.06467505297901978,0.035342832521259374,0.03416261744989199,0.04046278054883981,0.030497911241319432,0.031281704372829844
R1,0,1,registered,0,0.1,0.10000016954116317,,0.0990004150472958,0.09866085305809941,0.09689238564366859,0.8799847412368079,0.886266265417709,0.8888712565104139,0.8982972886827228
R1,0,1,registered,1,0.1,0.10000016954116317,,0.10700618192522816,0.10462971879815096,0.07762422958397533,0.0862798287627687,0.073681176620184,0.08063083224826385,0.07042100694444445
R1,0,1,registered,2,0.1,0.10000016954116317,,0.11061573013719955,0.12803850260423727,0.06978055033142377,0.03373543000042389,0.04005255796210744,0.030497911241319432,0.031281704372829844
R1,0,1,registered,0,0.2,0.20000016953970798,,0.19799243759412974,0.19728320373065486,0.19377155968445428,0.8799481879779496,0.8860940839181826,0.8888712565104139,0.8982972886827228
R1,0,1,registered,1,0.2,0.20000016953970798,,0.21386938054585986,0.20936296224961476,0.15521716101694913,0.08622225763765343,0.07371769060118746,0.08063083224826385,0.07042100694444445
R1,0,1,registered,2,0.2,0.20000016953970798,,0.2218485246047453,0.25694418097958355,0.14013018476263778,0.03382955438439746,0.04018822548063034,0.030497911241319432,0.031281704372829844
R1,0,1,registered,0,0.3,0.3000001695382528,,0.29708764974891183,0.2960931591641436,0.2908088954854634,0.8802417442933574,0.8865984391963032,0.8888712565104139,0.8982972886827228
R1,0,1,registered,1,0.3,0.3000001695382528,,0.3206821144707515,0.3129453967642526,0.23244655238828965,0.08618950388053412,0.07345972501417106,0.08063083224826385,0.07042100694444445
R1,0,1,registered,2,0.3,0.3000001695382528,,0.33020724466878665,0.3830532174931034,0.20813302476328818,0.033568751826108766,0.039941835789526134,0.030497911241319432,0.031281704372829844
R1,0,1,registered,0,0.4,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.8888712565104139,0.8982972886827228
R1,0,1,registered,1,0.4,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.08063083224826385,0.07042100694444445
R1,0,1,registered,2,0.4,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.030497911241319432,0.031281704372829844
R1,0,1,registered,0,0.5,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.8888712565104139,0.8982972886827228
R1,0,1,registered,1,0.5,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.08063083224826385,0.07042100694444445
R1,0,1,registered,2,0.5,,OUTSIDE_POSITIVE_SUPPORT,,,,,,0.030497911241319432,0.031281704372829844
R2,0,1,matched_global,0,0.35607961018413814,0.35607961018413814,,0.40059750788513576,0.395083169871204,0.395083169871204,1.0,0.9966932397822539,0.8888712565104139,0.8982972886827228
R2,0,1,matched_global,1,0.35607961018413814,0.35607961018413814,,0.0,0.015092931432973808,0.0,0.0,0.0029848927005113306,0.08063083224826385,0.07042100694444445
R2,0,1,matched_global,2,0.35607961018413814,0.35607961018413814,,0.0,0.0036638176329353376,0.0,0.0,0.00032186751723491135,0.030497911241319432,0.031281704372829844
R2,0,1,registered,0,0.05,0.050000169541890765,,0.05625130655973114,0.055601596943061764,0.055601596943061764,1.0,0.9989318883874228,0.8888712565104139,0.8982972886827228
R2,0,1,registered,1,0.05,0.050000169541890765,,0.0,0.0007318952234206472,0.0,0.0,0.001030812476899967,0.08063083224826385,0.07042100694444445
R2,0,1,registered,2,0.05,0.050000169541890765,,0.0,5.961833426374071e-05,0.0,0.0,3.729913567730144e-05,0.030497911241319432,0.031281704372829844
R2,0,1,registered,0,0.1,0.10000016954116317,,0.11250242238081529,0.11112014952514691,0.11112014952514691,1.0,0.9981875980163608,0.8888712565104139,0.8982972886827228
R2,0,1,registered,1,0.1,0.10000016954116317,,0.0,0.0024605161787365167,0.0,0.0,0.0017327173314118608,0.08063083224826385,0.07042100694444445
R2,0,1,registered,2,0.1,0.10000016954116317,,0.0,0.00025473288276325575,0.0,0.0,7.968465222735567e-05,0.030497911241319432,0.031281704372829844
R2,0,1,registered,0,0.2,0.20000016953970798,,0.22500465402298342,0.22200418883306272,0.22200418883306272,1.0,0.9971279592488952,0.8888712565104139,0.8982972886827228
R2,0,1,registered,1,0.2,0.20000016953970798,,0.0,0.007559707241910632,0.0,0.0,0.0026618087244595703,0.08063083224826385,0.07042100694444445
R2,0,1,registered,2,0.2,0.20000016953970798,,0.0,0.001344122445218881,0.0,0.0,0.00021023202664521438,0.030497911241319432,0.031281704372829844
R2,0,1,registered,0,0.3,0.3000001695382528,,0.33750688566515163,0.3329189923019767,0.3329189923019767,1.0,0.9968668637498284,0.8888712565104139,0.8982972886827228
R2,0,1,registered,1,0.3,0.3000001695382528,,0.0,0.012119607087827427,0.0,0.0,0.002844914841876657,0.08063083224826385,0.07042100694444445
R2,0,1,registered,2,0.3,0.3000001695382528,,0.0,0.0027641227704097954,0.0,0.0,0.00028822140829501283,0.030497911241319432,0.031281704372829844
R2,0,1,registered,0,0.4,0.4000001695367976,,0.4500089265686729,0.44374886403807373,0.4437486753008897,0.999999576144928,0.9965455811625242,0.8888712565104139,0.8982972886827228
R2,0,1,registered,1,0.4,0.4000001695367976,,2.102695655830776e-06,0.017625674114021567,0.0,4.2385507208291405e-07,0.0031030429827190132,0.08063083224826385,0.07042100694444445
R2,0,1,registered,2,0.4,0.4000001695367976,,0.0,0.004493054464058276,0.0,0.0,0.00035137585475673573,0.030497911241319432,0.031281704372829844
R2,0,1,registered,0,0.5,0.5000001695353424,,0.5625069619606102,0.5544496395402891,0.5544454873222403,0.9999922010660124,0.99612087805146,0.8888712565104139,0.8982972886827228
R2,0,1,registered,1,0.5,0.5000001695353424,,4.836200008410783e-05,0.024634052388289668,2.4075500770416025e-06,7.798933987449163e-06,0.0034695083721556445,0.08063083224826385,0.07042100694444445
R2,0,1,registered,2,0.5,0.5000001695353424,,0.0,0.006547177071872617,0.0,0.0,0.0004096135763842866,0.030497911241319432,0.031281704372829844
