phase,batch_id,seed,stage_index,domain,pair_index,candidate,normalization,draw_index,teacher_kind,block,class_id,cosine,zero_gradient,supervised_zero,unsupervised_zero,supervised_norm,unsupervised_norm,norm_ratio,negative_cosine,undefined_reason,dot_background,dot_rim,dot_cup,dot_total,projection_fraction,component_vector_sha256,total_vector_sha256,component_sum_max_abs_error,component_sum_pass,nonadditive_norm_sum,total_norm
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,dec3,0,-0.6308259984478829,False,False,False,0.029282876828770215,0.006782953473359903,0.11581774415510467,True,,4.600845782176517e-05,-0.0001374530717265508,5.6076565160478864e-05,-3.536804874430678e-05,-0.06722852570799956,896aa5aad8731eef8a01553245ab46102b2f4a5e43c396c13ad8c94e33cc691f,c59ceeccbc23f6466b0f20ae46e1a029bda07ef173e0b738c2b8f11e63e52153,4.228388472693467e-18,True,0.05317042526405401,0.022936584983092003
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,dec3,1,0.6880775493284773,False,False,False,0.029282876828770215,0.03401311855343021,0.5807680500846927,False,,-0.0001374530717265508,0.0011568922337296984,-0.00033359268288665105,0.0006858464791164966,1.3036751896143688,6a8b89ecde94093a6c38d3ab859a5d9f5a4681ae114a9a59b9477c7b67b27eca,c59ceeccbc23f6466b0f20ae46e1a029bda07ef173e0b738c2b8f11e63e52153,4.228388472693467e-18,True,0.05317042526405401,0.022936584983092003
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,dec3,2,-0.9116837425873308,False,False,False,0.029282876828770215,0.012374353237263892,0.21128991713522796,True,,5.6076565160478864e-05,-0.00033359268288665105,0.00015312461804058337,-0.000124391499685589,-0.23644666390637065,50729cb4c89ec44eda98f84d59eda3a5e7f9fc7c9ec726c6dabd9bf43c4dc6a1,c59ceeccbc23f6466b0f20ae46e1a029bda07ef173e0b738c2b8f11e63e52153,4.228388472693467e-18,True,0.05317042526405401,0.022936584983092003
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,dec2,0,-0.4218993116792119,False,False,False,0.027415237284410737,0.007375199304004612,0.13450912767037054,True,,5.439356477379012e-05,-0.00015637904881176705,2.9187650177365692e-05,-7.279783386061127e-05,-0.039988685526712996,c31b11fc859db18511c3180951839a7fa8262de97d5b58fbf32226085a0629bb,452eb81be912205161e7432904e583a0405b7f5e43d5d661e3e4c70d53494b5e,6.071532165918825e-18,True,0.06819843718972955,0.04266685816167438
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,dec2,1,0.7289097592877235,False,False,False,0.027415237284410737,0.05195854970396205,0.9476217397816852,False,,-0.00015637904881176705,0.002699690887339095,-0.00037891178300776497,0.002164400055519563,1.1889297879370333,27d02ccfa09c5467cd16df8026650a3ee8bb475765121b406f16e3e616fef426,452eb81be912205161e7432904e583a0405b7f5e43d5d661e3e4c70d53494b5e,6.071532165918825e-18,True,0.06819843718972955,0.04266685816167438
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,dec2,2,-0.602553968841365,False,False,False,0.027415237284410737,0.008864688181762895,0.1616744748513205,True,,2.9187650177365692e-05,-0.00037891178300776497,7.858269655988676e-05,-0.0002711414362705128,-0.14894110241032088,734ffe5eaa9a7aa92c6a92d7402023d67acbe2f319cac243df39d9a2bed4cf9f,452eb81be912205161e7432904e583a0405b7f5e43d5d661e3e4c70d53494b5e,6.071532165918825e-18,True,0.06819843718972955,0.04266685816167438
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,dec1,0,-0.08816462952165578,False,False,False,0.49600768933092376,0.1458034468684202,0.14697700257943364,True,,0.021258645118712234,-0.010308263183970927,0.014186655939666575,0.02513703787440788,0.014051061710462996,5d7b9a4e4ddfab6c2a9fb8b5db4eeaffab9737e6e9e8415a7a566c6e4be386e9,20c17793274fba8e385f5c8a81b82384670eb170e7426ee40e58ef00190c7c7a,5.551115123125783e-16,True,1.9982145919039052,1.3375267582497454
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,dec1,1,0.9196152926701895,False,False,False,0.49600768933092376,1.5710215098926172,1.583666487118178,False,,-0.010308263183970927,2.468108584545279,-0.39366315645357275,2.064137164907735,1.1538081307705357,c4e97ef6fc4ef205713fd3f4219e7d7ecc1a1d3a1e7f35e0cbe52481708cc746,20c17793274fba8e385f5c8a81b82384670eb170e7426ee40e58ef00190c7c7a,5.551115123125783e-16,True,1.9982145919039052,1.3375267582497454
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,dec1,2,-0.8401049023398021,False,False,False,0.49600768933092376,0.2813896351428677,0.28365450898799643,True,,0.014186655939666575,-0.39366315645357275,0.07918012676583619,-0.30029637374807006,-0.1678591924809989,75532bfe7799dcca8bb4bbb383e0288d7c1fefb17f4b16c7dff9595faf83ce3a,20c17793274fba8e385f5c8a81b82384670eb170e7426ee40e58ef00190c7c7a,5.551115123125783e-16,True,1.9982145919039052,1.3375267582497454
draw0,B0/seed0/stage0/REFUGE/pair00,0,0,REFUGE,0,R0,class_balanced,0,stochastic,classifier.mu,0,-0.8056363312692363,False,False,False,0.829207198203823,0.23237314688116636,0.1401176614147336,True,,0.05399727939145611,-0.09957312307884775,0.05965632275332213,0.014080479065930547,0.024151478059499715,347c9fc2d9887871f959317773d07c071bea1c43bc425fa85212f81209d5feec,15c311a1f22b551566f75d37349283ff1e8fe4b0841fd28344c2ae0b9f09c8c0,8.881784197001252e-16,True,1.5759710858050915,0.7635489044471236
