candidate,seed,stage_index,class_id,requested_coverage,precision,achieved_coverage,reason,point_kind
R2,0,1,2,0.05,0.8440920467480677,0.05000376481629436,,registered
R2,0,1,2,0.1,0.7905373024580237,0.1000047604970329,,registered
R2,0,1,2,0.2,0.741849603920854,0.200001807089114,,registered
R2,0,1,2,0.3,0.6981644503021399,0.300001233801904,,registered
R2,0,1,2,0.4,0.656064776061717,0.4000017971559399,,registered
R2,0,1,2,0.5,0.620110659256573,0.5000179102634292,,registered
R2,0,1,2,1.0,0.43231350901495535,1.0000000000001348,,maximum_support
R2,0,1,foreground_macro,0.05,0.5565070718545092,0.05000234342369818,,registered
R2,0,1,foreground_macro,0.1,0.5343597355321622,0.10000335084724905,,registered
R2,0,1,foreground_macro,0.2,0.5387980405819497,0.200001068917882,,registered
R2,0,1,foreground_macro,0.3,0.5565492321470655,0.30000114818617146,,registered
R2,0,1,foreground_macro,0.4,0.5591840436913067,0.4000011721666219,,registered
R2,0,1,foreground_macro,0.5,0.5541990546250897,0.5000100572282492,,registered
R3,0,1,overall,0.05,0.9997795960164546,0.050000169541890765,,registered
R3,0,1,overall,0.1,0.9993591319459195,0.10000016954116317,,registered
R3,0,1,overall,0.2,0.9988538963708726,0.20000016953970798,,registered
R3,0,1,overall,0.3,0.9985119863371775,0.3000001695382528,,registered
R3,0,1,overall,0.4,0.9981918342624966,0.4000001695367976,,registered
R3,0,1,overall,0.5,0.9977491598344073,0.5000001695353424,,registered
R3,0,1,overall,0.9999999999859658,0.9107126871745254,0.9999999999859658,,maximum_support
R3,0,1,0,0.05,0.9998484367607141,0.05000000264324591,,registered
R3,0,1,0,0.1,0.9994220332627769,0.10000012566738192,,registered
R3,0,1,0,0.2,0.9989109111725498,0.20000012764663236,,registered
R3,0,1,0,0.3,0.9985490210914001,0.3000000479132338,,registered
R3,0,1,0,0.4,0.9982565766086058,0.4000001532664628,,registered
R3,0,1,0,0.5,0.9979467364820339,0.5000000294067013,,registered
R3,0,1,0,1.0,0.968667579843963,1.0000000000055747,,maximum_support
R3,0,1,1,0.05,0.1903548960286151,0.05000028874252568,,registered
R3,0,1,1,0.1,0.21049400715469058,0.10000002969886493,,registered
R3,0,1,1,0.2,0.3335004910784286,0.20000017514185817,,registered
R3,0,1,1,0.3,0.41602574530739966,0.3000008763910099,,registered
R3,0,1,1,0.4,0.45729438670022704,0.4000018073221266,,registered
R3,0,1,1,0.5,0.47867517992877207,0.5000017306605341,,registered
R3,0,1,1,1.0,0.5004726877989876,1.0000000000001565,,maximum_support
R3,0,1,2,0.05,0.8896546296818071,0.05000796045874347,,registered
R3,0,1,2,0.1,0.8383005582987773,0.10000030580283532,,registered
R3,0,1,2,0.2,0.7688718871602156,0.2000018275890262,,registered
R3,0,1,2,0.3,0.7172594621041481,0.3000041309327497,,registered
R3,0,1,2,0.4,0.671406772133698,0.4000003516557283,,registered
R3,0,1,2,0.5,0.6270576508282919,0.5000003100369642,,registered
R3,0,1,2,1.0,0.432313509014979,1.0000000000001852,,maximum_support
R3,0,1,foreground_macro,0.05,0.5400047628552112,0.050004124600634574,,registered
R3,0,1,foreground_macro,0.1,0.5243972827267339,0.10000016775085013,,registered
R3,0,1,foreground_macro,0.2,0.5511861891193222,0.2000010013654422,,registered
R3,0,1,foreground_macro,0.3,0.5666426037057739,0.3000025036618798,,registered
R3,0,1,foreground_macro,0.4,0.5643505794169625,0.40000107948892744,,registered
R3,0,1,foreground_macro,0.5,0.552866415378532,0.5000010203487492,,registered
R0,0,2,overall,0.05,0.9969075688608661,0.05000027126721395,,registered
R0,0,2,overall,0.1,0.9969156901041274,0.10000000000034028,,registered
R0,0,2,overall,0.2,0.9952975866733156,0.20000027126547879,,registered
R0,0,2,overall,0.3,0.9928593452872868,0.30000027126709317,,registered
R0,0,2,overall,0.4,0.9890679253466631,0.4000000000064623,,registered
R0,0,2,overall,0.5,0.9826269531242892,0.5000000000131926,,registered
R0,0,2,overall,1.0,0.8677796766466005,1.0000000000468439,,maximum_support
R0,0,2,0,0.05,0.9969802778046352,0.05000001756806064,,registered
R0,0,2,0,0.1,0.9969197996561997,0.10000029382243932,,registered
R0,0,2,0,0.2,0.9958032743501342,0.20000023575284237,,registered
R0,0,2,0,0.3,0.9938645496052391,0.3000001402451484,,registered
R0,0,2,0,0.4,0.9910998698644529,0.40000018943550475,,registered
R0,0,2,0,0.5,0.9864606319999768,0.5000002024134766,,registered
R0,0,2,0,1.0,0.9105641259333105,1.0000000000158646,,maximum_support
R0,0,2,1,0.05,0.13240290487689343,0.050020337459432386,,registered
R0,0,2,1,0.1,0.1888655894711999,0.10000222449784306,,registered
R0,0,2,1,0.2,0.27373246277535923,0.20000132527750442,,registered
R0,0,2,1,0.3,0.313040052555843,0.30000493378092524,,registered
R0,0,2,1,0.4,0.3398544127762726,0.4000046888445981,,registered
R0,0,2,1,0.5,0.3574003032693638,0.5000010459586058,,registered
R0,0,2,1,1.0,0.3576146557100588,1.000000000000745,,maximum_support
R0,0,2,2,0.05,0.42207514800353896,0.050006629396513264,,registered
R0,0,2,2,0.1,0.48532311167482156,0.10000839877220903,,registered
R0,0,2,2,0.2,0.6004426811501773,0.20002096819099144,,registered
R0,0,2,2,0.3,0.644129354449773,0.3000621984410863,,registered
R0,0,2,2,0.4,0.6645833010132836,0.4000293296251414,,registered
R0,0,2,2,0.5,0.6735522928104797,0.5000064456984284,,registered
R0,0,2,2,1.0,0.6746803516671271,1.0000000000008697,,maximum_support
R0,0,2,foreground_macro,0.05,0.2772390264402162,0.05001348342797282,,registered
R0,0,2,foreground_macro,0.1,0.33709435057301074,0.10000531163502605,,registered
R0,0,2,foreground_macro,0.2,0.43708757196276826,0.2000111467342479,,registered
R0,0,2,foreground_macro,0.3,0.478584703502808,0.30003356611100573,,registered
R0,0,2,foreground_macro,0.4,0.5022188568947781,0.40001700923486977,,registered
R0,0,2,foreground_macro,0.5,0.5154762980399217,0.5000037458285171,,registered
R1,0,2,overall,0.05,0.9410213703271498,0.05000027126721395,,registered
R1,0,2,overall,0.1,0.9408284505200795,0.10000000000034028,,registered
R1,0,2,overall,0.2,0.9407430816759399,0.20000027126547879,,registered
R1,0,2,overall,0.3,0.9406973915817924,0.30000027126709317,,registered
R1,0,2,overall,0.4,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,2,overall,0.5,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,2,overall,0.37078911675796855,0.9406457201310165,0.37078911675796855,,maximum_support
R1,0,2,0,0.05,0.9938078521789959,0.050000227753114815,,registered
R1,0,2,0,0.1,0.9939028463638988,0.1000000602601498,,registered
R1,0,2,0,0.2,0.9939677875705927,0.2000003125028525,,registered
R1,0,2,0,0.3,0.9939767640985525,0.3000000598024075,,registered
R1,0,2,0,0.4,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,2,0,0.5,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,2,0,0.36655187954184354,0.9940298688036595,0.36655187954184354,,maximum_support
R1,0,2,1,0.05,0.3204160652072727,0.050000102225305286,,registered
R1,0,2,1,0.1,0.31747711486609553,0.1000050400765936,,registered
R1,0,2,1,0.2,0.31868395225840196,0.20000077358340973,,registered
R1,0,2,1,0.3,0.31933817673630016,0.30000002133069825,,registered
R1,0,2,1,0.4,0.3189520123064812,0.4000014697184635,,registered
R1,0,2,1,0.5,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,2,1,0.4207239801067227,0.3189283464031383,0.4207239801067227,,maximum_support
R1,0,2,2,0.05,0.9936285680992387,0.05002913292612925,,registered
R1,0,2,2,0.1,0.9919987912986821,0.10000449478457349,,registered
R1,0,2,2,0.2,0.9927364324568557,0.2000074612961861,,registered
R1,0,2,2,0.3,0.9926910547143565,0.30002832619975806,,registered
R1,0,2,2,0.4,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,2,2,0.5,,,OUTSIDE_POSITIVE_SUPPORT,registered
R1,0,2,2,0.32618961978185584,0.9930996521877054,0.32618961978185584,,maximum_support
R1,0,2,foreground_macro,0.05,0.6570223166532557,0.05001461757571726,,registered
R1,0,2,foreground_macro,0.1,0.6547379530823888,0.10000476743058354,,registered
R1,0,2,foreground_macro,0.2,0.6557101923576288,0.2000041174397979,,registered
R1,0,2,foreground_macro,0.3,0.6560146157253284,0.30001417376522815,,registered
R1,0,2,foreground_macro,0.4,,,FOREGROUND_CLASS_UNSUPPORTED,registered
R1,0,2,foreground_macro,0.5,,,FOREGROUND_CLASS_UNSUPPORTED,registered
R2,0,2,overall,0.05,0.9996799062505107,0.05000027126721395,,registered
R2,0,2,overall,0.1,0.9994384765624929,0.10000000000034028,,registered
R2,0,2,overall,0.2,0.9988661039685295,0.20000027126547879,,registered
R2,0,2,overall,0.3,0.9981960736796426,0.30000027126709317,,registered
R2,0,2,overall,0.4,0.9972269694008998,0.4000000000064623,,registered
R2,0,2,overall,0.5,0.9965445963540253,0.5000000000131926,,registered
R2,0,2,overall,1.0,0.8677796766466005,1.0000000000468439,,maximum_support
R2,0,2,0,0.05,0.9996920876937707,0.05000018530682671,,registered
R2,0,2,0,0.1,0.9994928407765665,0.10000012503866942,,registered
R2,0,2,0,0.2,0.9990023211175967,0.20000016699766693,,registered
R2,0,2,0,0.3,0.9984803100544135,0.3000002320474772,,registered
R2,0,2,0,0.4,0.9976204954279548,0.40000024648386456,,registered
R2,0,2,0,0.5,0.9969527255191658,0.5000002279676767,,registered
R2,0,2,0,1.0,0.9105641259333853,1.0000000000150113,,maximum_support
R2,0,2,1,0.05,0.6563391944023311,0.05000146370126154,,registered
R2,0,2,1,0.1,0.6051971068290782,0.1000071856762519,,registered
R2,0,2,1,0.2,0.5431893237794281,0.20000394041537006,,registered
R2,0,2,1,0.3,0.5030163458104732,0.30000218768674963,,registered
