backbone,contrast,delta,domain,metric,seed
UNET_QUERY_128,B1-B0,0.004250499010086117,Drishti_GS,cup,263
UNET_QUERY_128,B3-B2,0.009132610112428718,Drishti_GS,macro,263
UNET_QUERY_128,B3-B2,0.011072602868080095,Drishti_GS,rim,263
UNET_QUERY_128,B3-B2,0.007192617356777231,Drishti_GS,cup,263
UNET_QUERY_128,B2-B1,-0.007103416174650268,Drishti_GS,macro,263
UNET_QUERY_128,B2-B1,-0.009159792065620453,Drishti_GS,rim,263
UNET_QUERY_128,B2-B1,-0.005047040283679971,Drishti_GS,cup,263
DINOV2_VITS14_QUERY,B2-B0,0.00047405362129204764,RIM_ONE_r3,macro,263
DINOV2_VITS14_QUERY,B2-B0,0.00030879080295564965,RIM_ONE_r3,rim,263
DINOV2_VITS14_QUERY,B2-B0,0.0006393164396285567,RIM_ONE_r3,cup,263
DINOV2_VITS14_QUERY,B3-B1,0.0011716909706591672,RIM_ONE_r3,macro,263
DINOV2_VITS14_QUERY,B3-B1,0.0005573138594627824,RIM_ONE_r3,rim,263
DINOV2_VITS14_QUERY,B3-B1,0.001786068081855774,RIM_ONE_r3,cup,263
DINOV2_VITS14_QUERY,B1-B0,-0.001098470762372017,RIM_ONE_r3,macro,263
DINOV2_VITS14_QUERY,B1-B0,0.0007389575242996438,RIM_ONE_r3,rim,263
DINOV2_VITS14_QUERY,B1-B0,-0.0029358990490436776,RIM_ONE_r3,cup,263
DINOV2_VITS14_QUERY,B3-B2,-0.0004008334130048974,RIM_ONE_r3,macro,263
DINOV2_VITS14_QUERY,B3-B2,0.0009874805808067766,RIM_ONE_r3,rim,263
DINOV2_VITS14_QUERY,B3-B2,-0.0017891474068164603,RIM_ONE_r3,cup,263
DINOV2_VITS14_QUERY,B2-B1,0.0015725243836640646,RIM_ONE_r3,macro,263
DINOV2_VITS14_QUERY,B2-B1,-0.00043016672134399414,RIM_ONE_r3,rim,263
DINOV2_VITS14_QUERY,B2-B1,0.0035752154886722343,RIM_ONE_r3,cup,263
DINOV2_VITS14_QUERY,B2-B0,7.342457771297717e-05,Drishti_GS,macro,263
DINOV2_VITS14_QUERY,B2-B0,0.0002777433395386719,Drishti_GS,rim,263
DINOV2_VITS14_QUERY,B2-B0,-0.00013089418411260656,Drishti_GS,cup,263
DINOV2_VITS14_QUERY,B3-B1,0.0005061587691307379,Drishti_GS,macro,263
DINOV2_VITS14_QUERY,B3-B1,0.00038925409317025483,Drishti_GS,rim,263
DINOV2_VITS14_QUERY,B3-B1,0.0006230634450912209,Drishti_GS,cup,263
DINOV2_VITS14_QUERY,B1-B0,0.0009844705462455083,Drishti_GS,macro,263
DINOV2_VITS14_QUERY,B1-B0,0.002747178077697754,Drishti_GS,rim,263
DINOV2_VITS14_QUERY,B1-B0,-0.0007782369852066262,Drishti_GS,cup,263
DINOV2_VITS14_QUERY,B3-B2,0.001417204737663269,Drishti_GS,macro,263
DINOV2_VITS14_QUERY,B3-B2,0.002858688831329337,Drishti_GS,rim,263
DINOV2_VITS14_QUERY,B3-B2,-2.4279356002798735e-05,Drishti_GS,cup,263
DINOV2_VITS14_QUERY,B2-B1,-0.0009110459685325312,Drishti_GS,macro,263
DINOV2_VITS14_QUERY,B2-B1,-0.002469434738159082,Drishti_GS,rim,263
DINOV2_VITS14_QUERY,B2-B1,0.0006473428010940196,Drishti_GS,cup,263
