seed,transition,update_batch,variant,relation_mode,relation_loss,relation_gradient_norm,relation_gradient_norm_ratio_to_b0,cos_relation_with_sup,cos_relation_with_assim,sup_gradient_norm,assim_gradient_norm,total_gradient_norm,old_winner_count_class0,old_winner_count_class1,old_winner_count_class2,per_class_loss0,per_class_loss1,per_class_loss2,boundary_relation_loss,interior_relation_loss,valid_count,pair_count,present_class_count,probability_sum_error,b0_r0_loss_abs_error,all_finite,hidden_gt_usage,optimizer_step_called
1,REFUGE->RIM_ONE_r3,25,B2,top2_pairwise_class_balanced,0.04221498966217041,1.2800623178482056,4.671507941074203,-0.23251371085643768,-0.20129746198654175,0.2143101543188095,0.39116230607032776,1.210141897201538,32548,3352,584,0.004477399401366711,0.03842014819383621,0.08374742418527603,0.055648334324359894,0.09805484861135483,36484,36484,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,25,B3,all_pairwise_class_balanced,0.02661590836942196,1.1342236995697021,4.1392789597941615,-0.25254321098327637,-0.15444475412368774,0.2143101543188095,0.39116230607032776,1.0869559049606323,32548,3352,584,0.0023070035967975855,0.02041361853480339,0.05712709575891495,0.03093000315129757,0.05561983585357666,36484,72968,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,26,B0,categorical_pixel_mean,0.00844760611653328,0.20837797224521637,1.0,0.10830259323120117,0.4906977415084839,0.29998648166656494,0.4067102372646332,0.6387320160865784,30812,4259,710,0.002417899202555418,0.038841430097818375,0.08779976516962051,0.0608353391289711,0.043116211891174316,35781,35781,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,26,B1,categorical_class_balanced,0.043019697070121765,2.0425567626953125,9.80217218109628,0.07774721831083298,0.30129706859588623,0.29998648166656494,0.4067102372646332,2.244027853012085,30812,4259,710,0.002417899202555418,0.038841430097818375,0.08779976516962051,0.07015915215015411,0.14780205488204956,35781,35781,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,26,B2,top2_pairwise_class_balanced,0.042082250118255615,2.022393226623535,9.705407941313538,0.07550980895757675,0.28605416417121887,0.29998648166656494,0.4067102372646332,2.218130111694336,30812,4259,710,0.0024110849481076,0.036252960562705994,0.08758271485567093,0.0695369690656662,0.146602064371109,35781,35781,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,26,B3,all_pairwise_class_balanced,0.02153826132416725,1.0226126909255981,4.907489404504817,0.07786986976861954,0.3015044331550598,0.29998648166656494,0.4067102372646332,1.2696994543075562,30812,4259,710,0.0012189478147774935,0.019472433254122734,0.04392340034246445,0.03532305359840393,0.07457982003688812,35781,71562,3,1.7881393432617188e-07,0.0,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,27,B0,categorical_pixel_mean,0.00818588025867939,0.1541065126657486,1.0,-0.25271591544151306,0.22626186907291412,0.22617757320404053,0.47554025053977966,0.5619685053825378,31396,3431,935,0.0021730633452534676,0.04808312654495239,0.06368419528007507,0.06005653366446495,0.03691224381327629,35762,35762,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,27,B1,categorical_class_balanced,0.037980131804943085,1.2184367179870605,7.906458311919661,-0.26593706011772156,0.04299964755773544,0.22617757320404053,0.47554025053977966,1.290095329284668,31396,3431,935,0.0021730633452534676,0.04808312654495239,0.06368419528007507,0.0979185551404953,0.07859845459461212,35762,35762,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,27,B2,top2_pairwise_class_balanced,0.03597186505794525,1.1313954591751099,7.341645979810505,-0.3149159848690033,0.02252992056310177,0.22617757320404053,0.47554025053977966,1.1914938688278198,31396,3431,935,0.00216636317782104,0.04723363369703293,0.05851559340953827,0.09757344424724579,0.07635290920734406,35762,35762,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,27,B3,all_pairwise_class_balanced,0.01902701146900654,0.6115260124206543,3.9682035615654474,-0.26412561535835266,0.037950027734041214,0.22617757320404053,0.47554025053977966,0.7742394208908081,31396,3431,935,0.0010941202053800225,0.024081047624349594,0.03190586343407631,0.04915308952331543,0.039453230798244476,35762,71524,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,28,B0,categorical_pixel_mean,0.008438638411462307,0.2520444095134735,1.0,-0.16756446659564972,-0.14595246315002441,0.35460683703422546,0.30039554834365845,0.4947080612182617,32303,2533,907,0.002363825449720025,0.06072568893432617,0.07877112179994583,0.05585494637489319,0.0611739344894886,35743,35743,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,28,B1,categorical_class_balanced,0.047286879271268845,2.3007352352142334,9.128293064128618,-0.11471857130527496,-0.3538823425769806,0.35460683703422546,0.30039554834365845,2.2022368907928467,32303,2533,907,0.002363825449720025,0.06072568893432617,0.07877112179994583,0.057829469442367554,0.06806598603725433,35743,35743,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,28,B2,top2_pairwise_class_balanced,0.04448419809341431,2.1554439067840576,8.551841760524486,-0.10886402428150177,-0.34585708379745483,0.35460683703422546,0.30039554834365845,2.0651021003723145,32303,2533,907,0.002354303142055869,0.05433269590139389,0.07676560431718826,0.054913900792598724,0.0650477334856987,35743,35743,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,28,B3,all_pairwise_class_balanced,0.024469580501317978,1.3319728374481201,5.284675188865544,-0.12129691988229752,-0.452058345079422,0.35460683703422546,0.30039554834365845,1.2373157739639282,32303,2533,907,0.0011939251562580466,0.030543532222509384,0.041671283543109894,0.029107045382261276,0.0351874977350235,35743,71486,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,29,B0,categorical_pixel_mean,0.010555089451372623,0.16502442955970764,1.0,-0.34200140833854675,0.6443214416503906,0.3490692377090454,0.25645512342453003,0.3550790250301361,32150,3643,710,0.004817000590264797,0.052928611636161804,0.052967436611652374,0.07552462071180344,0.049254342913627625,36503,36503,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
1,REFUGE->RIM_ONE_r3,29,B1,categorical_class_balanced,0.03690434992313385,1.058382272720337,6.413488448614226,-0.25725334882736206,0.3553057909011841,0.3490692377090454,0.25645512342453003,1.098491907119751,32150,3643,710,0.004817000590264797,0.052928611636161804,0.052967436611652374,0.07613255828619003,0.1043727919459343,36503,36503,3,1.7881393432617188e-07,9.313225746154785e-10,True,post_hoc_boundary_grouping_only,False
