seed,variant,site_step,successful_site_step_before_step,noise_warmup_multiplier,effective_sigma,noise_scale_p10,noise_scale_p50,noise_scale_p90,perturbation_weight_ratio,classifier_angular_drift,raw_noise_checksum
0,L3,600,599,1.0,0.31622776601683794,1.3801359273202252e-05,0.00037183292442932725,0.034389253705739975,0.3136727511882782,0.04622822627425194,fda6e35ca7f53fa6c653761928086d758dedd8a39c2d9509e71aaa3913a9f94d
0,L3,650,649,1.0,0.31622776601683794,1.6456755474791862e-05,0.000825448427349329,0.2087274044752121,0.28112122416496277,0.04718434810638428,9c67b7c9af6a9f6b8521c9f60f58e097ed8b96aaf46d9161c385a36b12f6bea3
0,L3,700,699,1.0,0.31622776601683794,4.174011337454431e-05,0.0011659353040158749,0.042970314621925354,0.1357419639825821,0.04768243432044983,8ff974cad42f4209d164765a73692ff1016ce16e591e2d2f32f48ddb9141e18a
0,L3,750,749,1.0,0.31622776601683794,0.0001913806627271697,0.0074944160878658295,0.4710606038570404,0.6979786157608032,0.048097625374794006,e5163918c35b55b3e9b74e7cef4d3b4fc0a33316dbc7b78e1e7d4f36b73acd31
0,L3,800,799,1.0,0.31622776601683794,3.6188819649396464e-05,0.001291333232074976,0.2767428755760193,0.5142499804496765,0.04854618012905121,c7963dd3c0eea46c37225c5598f1e4740556680b403c3a6bc7f53384d60d23fd
0,L3,850,849,1.0,0.31622776601683794,0.00010748863860499114,0.001348820747807622,0.07716704159975052,0.5654751062393188,0.04872436448931694,0d953393a753f5473c72bf2339bbaaa8b51015a35b54f488b73bc13d7ac80d1d
0,L3,900,899,1.0,0.31622776601683794,1.6967498595477082e-05,0.0008355409372597933,0.0719509944319725,0.4635084867477417,0.048850513994693756,bdad134a9e6dd194bc043430d28a6d99773fffc63fc5cfc2887272b80725565d
0,L3,950,949,1.0,0.31622776601683794,0.00019779373542405665,0.0025557272601872683,0.16322080790996552,0.4289815425872803,0.048922788351774216,518c912751a00cbbebeb82bedb1a89bb73e3cff7de5e892e60f174fa9ce18ef7
0,L3,1000,999,1.0,0.31622776601683794,5.807687557535246e-05,0.0030152578838169575,0.3133936822414398,0.585503876209259,0.048932723701000214,1c58d86001f9dfb9a5a68333d9e571eb2925f742cdad864a7330a0ff85fb2cf1
0,L4,1,0,0.0,0.0,1.0,1.0,1.0,0.0,0.00032552084303461015,f8185d5b6b087fcae63c6beb32ec0090726291cbfaf15a04fb61ad077fe9a478
0,L4,2,1,0.005,0.0015811388300841897,0.0006905221380293369,0.0027033991646021605,0.022832849994301796,0.0011084519792348146,0.0036822210531681776,760ab79ed9dc45fd21f94942b201bdc8c6960f37f79d85a5cbacf2bd546d0866
