seed,stage_index,domain,case_id,class_id,candidate,level,valid_pixels,full_pixels,full_mass,R1_full_mass,full_mass_difference,selected_nonignore_mass,error_mass,case_fraction_selected,case_fraction_error,precision,weighted_error,ignored_pixels,selected_ignore_mass,null_pixels,selected_null_mass,cases,valid_stratum_cases,weighted_selected_mass,weighted_error_mass,case_error_defined,case_error_undefined,case_error_quantiles,reference_error,relative_error_reduction,precision_drop
0,0,REFUGE,REFUGE_test_n0128,0,Q3,case,128755,128755,99274.35038714338,39314,59960.35038714338,99274.35038714338,269.66059932740865,0.771032972600236,0.002094369922157653,0.9972836830633914,0.0027163169366085454,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0128,1,Q1,case,8240,8240,1688.0,1688,0.0,1688.0,409.0,0.20485436893203884,0.04963592233009709,0.7577014218009479,0.24229857819905212,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0128,1,Q2,case,8240,8240,1688.0,1688,0.0,1688.0,409.0,0.20485436893203884,0.04963592233009709,0.7577014218009479,0.24229857819905212,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0128,1,Q0,case,8240,8240,1688.0,1688,0.0,1688.0,267.0,0.20485436893203884,0.03240291262135922,0.841824644549763,0.15817535545023698,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0128,1,Q3,case,8240,8240,1929.476276125387,1688,241.4762761253869,1929.476276125387,477.6705194884156,0.23415974224822655,0.05796972323888539,0.7524351424275432,0.24756485757245672,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0128,2,Q1,case,10461,10461,1651.0,1651,0.0,1651.0,802.0,0.15782429978013574,0.07666571073511137,0.5142337976983646,0.48576620230163536,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0128,2,Q2,case,10461,10461,1651.0,1651,0.0,1651.0,802.0,0.15782429978013574,0.07666571073511137,0.5142337976983646,0.48576620230163536,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0128,2,Q0,case,10461,10461,1651.0,1651,0.0,1651.0,874.0,0.15782429978013574,0.08354841793327598,0.47062386432465175,0.5293761356753482,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0128,2,Q3,case,10461,10461,2746.124206298876,1651,1095.1242062988758,2746.124206298876,1532.9570654801928,0.2625106783576021,0.14654020318135866,0.4417743152461937,0.5582256847538063,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0138,0,Q1,case,125138,125138,10593.0,10593,0.0,10593.0,96.0,0.08465054579743962,0.0007671530630184276,0.9909374114981592,0.009062588501840838,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0138,0,Q2,case,125138,125138,10593.0,10593,0.0,10593.0,96.0,0.08465054579743962,0.0007671530630184276,0.9909374114981592,0.009062588501840838,0,0.0,0,0.0,,,,,,,,,,
0,0,REFUGE,REFUGE_test_n0138,0,Q0,case,125138,125138,10593.0,10593,0.0,10593.0,1927.0,0.08465054579743962,0.01539899950454698,0.8180874162182573,0.18191258378174266,0,0.0,0,0.0,,,,,,,,,,
